2020-04-01,Illinois,Schuyler County,Gas Stations,4bd23518046076b03b877371,BP,1
2020-04-01,Illinois,DeKalb County,Events,5bd5f2a758002c002cb83755,Sycamore Pumpkin Festival,1
2020-04-01,Illinois,Madison County,Big Box Stores,4b048d56f964a5201e5522e3,Walmart Supercenter,1
2020-04-01,Illinois,Madison County,Big Box Stores,4b6b4c87f964a52019ff2be3,Walmart Supercenter,2
2020-04-01,Illinois,Madison County,Big Box Stores,4b2ba179f964a52074b824e3,Walmart Supercenter,3
2020-04-01,Illinois,Madison County,Big Box Stores,4b7844e5f964a520f2c02ee3,Walmart Supercenter,4
2020-04-01,Illinois,Madison County,Big Box Stores,4d079e70a2685481e8a8c7bd,Walmart Supercenter,5
2020-04-01,Illinois,Madison County,Big Box Stores,4be8bb726af1ef3ba6af1b96,Walmart Supercenter,6
2020-04-01,Illinois,Madison County,Big Box Stores,4ae38a63f964a5206a9621e3,Target,7
2020-04-01,Illinois,Madison County,Big Box Stores,4ce084ac69136dcbac2fe4e6,Big Lots,8
2020-04-01,Illinois,Madison County,Big Box Stores,4b0db6fef964a5207d4e23e3,Target,9
2020-04-01,Illinois,Will County,Big Box Stores,4b7747eff964a520738e2ee3,Walmart Supercenter,1
2020-04-01,Illinois,Will County,Big Box Stores,4fa5b991e4b0c1088e923c68,Walmart Supercenter,2
2020-04-01,Illinois,Will County,Big Box Stores,4b8beae6f964a52052b232e3,Walmart Supercenter,3
2020-04-01,Illinois,Will County,Big Box Stores,4a6494f9f964a52050c61fe3,Walmart Supercenter,4
2020-04-01,Illinois,Will County,Big Box Stores,4b9dc219f964a5208bbc36e3,Walmart Supercenter,5
2020-04-01,Illinois,Will County,Big Box Stores,4b2e7997f964a520cde024e3,Walmart Supercenter,6
2020-04-01,Illinois,Will County,Big Box Stores,4cc8731ee7926dcbb2245677,Walmart Supercenter,7
2020-04-01,Illinois,Will County,Big Box Stores,4feb2e6ae4b060aa1ac8d520,Target,8
2020-04-01,Illinois,Will County,Big Box Stores,4b49151af964a520206526e3,Target,9
