2020-04-01,Nevada,Lyon County,Hotel,4be061fa4c55b6517b6aeab7,Comfort Suites,1
2020-04-01,Nevada,Clark County,Arts & Entertainment,458dadf6f964a5200c401fe3,Circus Circus Hotel & Casino,1
2020-04-01,Nevada,Clark County,Arts & Entertainment,4bc418e4dce4eee1d9ef719d,Boulder Station Hotel & Casino,2
2020-04-01,Nevada,Clark County,Arts & Entertainment,41326e00f964a52038151fe3,Venetian Resort & Casino,3
2020-04-01,Nevada,Clark County,Arts & Entertainment,4b6f67ddf964a52032ef2ce3,Sunset Station Hotel & Casino,4
2020-04-01,Nevada,Clark County,Arts & Entertainment,41326e00f964a52092141fe3,Mandalay Bay Resort and Casino,5
2020-04-01,Nevada,Clark County,Arts & Entertainment,45aa45b2f964a52030411fe3,Wynn Las Vegas,6
2020-04-01,Nevada,Clark County,Arts & Entertainment,41326e00f964a520fb141fe3,Sam's Town Las Vegas,7
2020-04-01,Nevada,Clark County,Arts & Entertainment,49dea2eaf964a52093601fe3,Plaza Casino,8
2020-04-01,Nevada,Clark County,Arts & Entertainment,4b17744af964a520a5c523e3,Eastside Cannery Hotel & Casino,9
2020-04-01,Nevada,Clark County,Arts & Entertainment,4b2b0de8f964a52017b424e3,Palms Casino Resort,10
2020-04-01,Nevada,Clark County,Arts & Entertainment,4a765ca4f964a520ece21fe3,Fremont Street Experience,11
2020-04-01,Nevada,Clark County,Arts & Entertainment,49dea3bbf964a52097601fe3,"The STRAT Hotel, Casino and Skypod",12
2020-04-01,Nevada,Clark County,Arts & Entertainment,431e2d80f964a52078271fe3,Palace Station Hotel & Casino,13
2020-04-01,Nevada,Clark County,Arts & Entertainment,4b154ff4f964a5208faf23e3,Las Vegas Motor Speedway,14
2020-04-01,Nevada,Clark County,Arts & Entertainment,4b6373c9f964a520e97a2ae3,Terrible's Hotel & Casino,15
2020-04-01,Nevada,Clark County,Arts & Entertainment,41326e00f964a52099141fe3,MGM Grand Hotel & Casino,16
2020-04-01,Nevada,Clark County,Arts & Entertainment,4cfbf913dccef04dcc08be9c,Bingo at Boulder Station,17
2020-04-01,Nevada,Clark County,Arts & Entertainment,4b3d1490f964a5207b8d25e3,Riverside Resort Hotel & Casino,18
2020-04-01,Nevada,Clark County,Arts & Entertainment,4a6d0478f964a52058d21fe3,The Palazzo Resort Hotel & Casino,19
2020-04-01,Nevada,Clark County,Arts & Entertainment,4b4be30af964a52083aa26e3,Vegas Indoor Skydiving,20
2020-04-01,Nevada,Clark County,Arts & Entertainment,4cf9c8b134c1a09368783c0e,Sunset Station Bingo Room,21
2020-04-01,Nevada,Clark County,Arts & Entertainment,4d294a3ab818a35d4ac09d8a,Laser Quest,22
2020-04-01,Nevada,Clark County,Big Box Stores,4b1771cff964a52096c523e3,Walmart Supercenter,1
2020-04-01,Nevada,Clark County,Big Box Stores,4b9af2f2f964a5201ee635e3,Walmart Supercenter,2
2020-04-01,Nevada,Clark County,Big Box Stores,4bca33cbfb84c9b68ead1c3e,Walmart Supercenter,3
2020-04-01,Nevada,Clark County,Big Box Stores,4aea4ffaf964a520f8ba21e3,Walmart Supercenter,4
2020-04-01,Nevada,Clark County,Big Box Stores,4a9b55b8f964a520fa3420e3,Walmart Supercenter,5
2020-04-01,Nevada,Clark County,Big Box Stores,4b6cdfa4f964a520c65a2ce3,Walmart Supercenter,6
2020-04-01,Nevada,Clark County,Big Box Stores,4ae734a9f964a5205da921e3,Walmart Supercenter,7
2020-04-01,Nevada,Clark County,Big Box Stores,4bd8d7f267b49c7444782214,Walmart Supercenter,8
2020-04-01,Nevada,Clark County,Big Box Stores,5992e86f5d0fea40f00bfaed,Walmart Supercenter,9
2020-04-01,Nevada,Clark County,Big Box Stores,4b53bc83f964a520c5a927e3,Walmart Supercenter,10
2020-04-01,Nevada,Clark County,Big Box Stores,4ac52168f964a52081b020e3,Walmart Supercenter,11
2020-04-01,Nevada,Clark County,Big Box Stores,4b2d91b4f964a52002d924e3,Walmart Supercenter,12
2020-04-01,Nevada,Clark County,Big Box Stores,4b541b8ff964a52071b227e3,Walmart Supercenter,13
2020-04-01,Nevada,Clark County,Big Box Stores,4b512e36f964a520424627e3,Walmart,14
2020-04-01,Nevada,Clark County,Big Box Stores,4bb26adeeb3e9521b8fec90a,Walmart Supercenter,15
2020-04-01,Nevada,Clark County,Big Box Stores,4b4d5862f964a5201fd126e3,Walmart,16
2020-04-01,Nevada,Clark County,Big Box Stores,4bba26b8b35776b0d596ca01,Walmart Supercenter,17
