2020-04-01,New Mexico,Socorro County,Big Box Stores,4c1b06dab4e62d7f55d4d893,Walmart Supercenter,1
2020-04-01,New Mexico,Eddy County,Outdoors & Recreation,4fdfbec0e4b0709249a90cf2,Elk Wallow 11 Sc 9H,1
2020-04-01,New Mexico,Eddy County,Outdoors & Recreation,51c5ca18498e5c7bf4ac5584,Somewhere In New Mexico,2
2020-04-01,New Mexico,Los Alamos County,Government,4c5745c7b7a31b8da8e64fda,Los Alamos National Laboratory,1
2020-04-01,New Mexico,San Juan County,Hotel,55af0320498e9a95d71ed952,Home2 Suites by Hilton,1
2020-04-01,New Mexico,San Juan County,Hotel,4dffc9afae6001fafcab4d54,Cedar Ridge Inn,2
2020-04-01,New Mexico,San Juan County,Hotel,5943274fd8fe7a0f3afecd43,Presidential Inn & Suites,3
2020-04-01,New Mexico,San Juan County,Hotel,5a8d93e995d98639483ad555,Fairfield Inn & Suites by Marriott Farmington,4
2020-04-01,New Mexico,San Juan County,Discount Stores,569c2d93498e4f223a3a9434,Dollar Tree,1
2020-04-01,New Mexico,San Juan County,Discount Stores,512259e03d7c420f627dc111,Dollar General,2
2020-04-01,New Mexico,San Juan County,Discount Stores,56a1a048498ed921008becbc,Dollar General,3
2020-04-01,New Mexico,Valencia County,Discount Stores,4d702dc55b5ca1cd5b8f7744,Dollar Tree,1
2020-04-01,New Mexico,Valencia County,Discount Stores,4dd5797dbd41965192d0688e,Dollar General,2
2020-04-01,New Mexico,Valencia County,School,4d8ce014d265236ada1fe516,Gil Sanchez,1
2020-04-01,New Mexico,Valencia County,School,4da3203abf22a143f7e0c0f8,Ann Parish Elementary,2
2020-04-01,New Mexico,Quay County,Travel & Transport,4e0b994bd22dc1e209601429,Russell's Travel Center,1
2020-04-01,New Mexico,Rio Arriba County,Arts & Entertainment,52588d6d11d277825696086d,Moving Arts,1
2020-04-01,New Mexico,Rio Arriba County,Food,53ac6167498e6a260d302248,Blue Heron Brewing  Co.,1
2020-04-01,New Mexico,McKinley County,Food,4d10670f5584f04d45905716,Love's Travel Stop,1
2020-04-01,New Mexico,McKinley County,Food,4c2e3148e760c9b6062c4649,Cocina de Dominguez,2
2020-04-01,New Mexico,McKinley County,Food,4bd5ec49637ba593304bf770,KFC,3
2020-04-01,New Mexico,McKinley County,Food,4ba6d3b5f964a520f67139e3,Blake's Lotaburger,4
2020-04-01,New Mexico,Rio Arriba County,Medical,4d9c9e89c99fb60c3357b58b,PHS Jicarilla Apache Indian Hospital,1
2020-04-01,New Mexico,Chaves County,Airport,4bbcb56ba8cf76b053d2b0fd,Roswell International Air Center (KROW),1
2020-04-01,New Mexico,Eddy County,Office,5d5edd899f5fa000087117db,Conocophillips - Loving Office,1
2020-04-01,New Mexico,Eddy County,Office,51b89b3e498ef0e9039c2bf9,New Mexico Gas Company,2
2020-04-01,New Mexico,Eddy County,Office,4f6b3b4fe4b021e524c79f66,"Constructors, Inc",3
2020-04-01,New Mexico,Lincoln County,Travel & Transport,5bba834c7dc9e1002c046b3e,Ruidoso,1
2020-04-01,New Mexico,Quay County,Gas Stations,4c1ebf86fcf8c9b6e8cbad0b,Flying J,1
2020-04-01,New Mexico,Quay County,Gas Stations,4c5b7144adfdef3b5e34527f,Allsup's,2
2020-04-01,New Mexico,Chaves County,Fast Food Restaurants,4c256284b7b8a593c33e3ee8,McDonald's,1
2020-04-01,New Mexico,San Juan County,Medical,4cf718cd665854817a45cd98,Northern Navajo Medical Center,1
2020-04-01,New Mexico,San Juan County,Medical,4cae4bf1eb65b1f76aca5acd,Animal Haven,2
2020-04-01,New Mexico,San Juan County,Medical,4c4f632f92ce2d7faaa5b22f,San Juan Regional Medical Center,3
2020-04-01,New Mexico,Valencia County,Medical,4de9492a1f6e9b53772341a1,Los Lunas Animal Clinic,1
2020-04-01,New Mexico,Curry County,Government,4bbacdd698c7ef3b6f863302,Cannon AFB,1
2020-04-01,New Mexico,Curry County,Government,4e28c41bd22d848a146708ff,Cannon Visitor's Center,2
2020-04-01,New Mexico,Eddy County,Convenience Store,5897402baf5c1416e0de5505,Atoka gas and ice,1
2020-04-01,New Mexico,Eddy County,Convenience Store,4fb9215ce4b0fee48fef670a,allsup's,2
2020-04-01,New Mexico,Doña Ana County,Fitness Center,509573f2e4b0f94e049a1d84,Sunland Park Fitness,1
2020-04-01,New Mexico,Eddy County,Discount Stores,4ecc572861af1f8ac3517159,Family Dollar,1
2020-04-01,New Mexico,Bernalillo County,Hotel,52b3e00d498ed8602c6f4fde,Rodeway Inn,1
2020-04-01,New Mexico,Grant County,Colleges & Universities,4f0f3751e4b03684a6266350,Silver High School,1
2020-04-01,New Mexico,Torrance County,Convenience Store,4ba4c3ddf964a520d7b238e3,Clines Corners Retail Center,1
2020-04-01,New Mexico,Valencia County,Food,4bf49cb298ac0f47cb4564a8,Blake's Lotaburger,1
2020-04-01,New Mexico,Valencia County,Food,5aa835698173cb49cedfe943,Love's Travel Stop,2
2020-04-01,New Mexico,Valencia County,Food,4c1cc107eac020a1f7f646c2,Weck's,3
2020-04-01,New Mexico,Valencia County,Food,4bae2b24f964a520e18c3be3,Starbucks,4
2020-04-01,New Mexico,Valencia County,Food,4bdf24950ee3a593011833b0,Dion's Pizza,5
2020-04-01,New Mexico,Valencia County,Food,4c58d3294ed9ef3bd17fd96d,Mana Mart,6
2020-04-01,New Mexico,San Juan County,Arts & Entertainment,4c13b7d2b7b9c92895ffa937,Mcgee Park Coliseum,1
2020-04-01,New Mexico,San Juan County,Arts & Entertainment,4bddfbde6198c9b6257d12ff,Sun Ray Park and Casino,2
2020-04-01,New Mexico,Bernalillo County,Alcohol,5daeeaa2daa0d00007773bd5,Paradise Liquors,1
2020-04-01,New Mexico,Bernalillo County,Alcohol,518844fb498e8f6b3b736c0f,Total Wine & More,2
2020-04-01,New Mexico,Cibola County,Government,4e148e66b61c18a82702c617,Acoma Safety Facility,1
2020-04-01,New Mexico,Cibola County,Government,54ecae16498e12a95dc643fc,Grants Police Department,2
2020-04-01,New Mexico,Cibola County,Government,4e5ad004a8098920b3d12a10,Pueblo Of Laguna Fire/Rescue,3
2020-04-01,New Mexico,Lea County,Convenience Store,50522ff6e4b0cccd4f2ad2de,Allsup's,1
2020-04-01,New Mexico,Lea County,Convenience Store,4c1a3da33b2ab71395ef3225,Stripes,2
2020-04-01,New Mexico,Lea County,Convenience Store,4c9275dbebc99c743114becf,Stripes,3
2020-04-01,New Mexico,Lea County,Convenience Store,4c1a45af3b2ab713a7f13225,Stripes,4
2020-04-01,New Mexico,Lea County,Convenience Store,5b2188cfee7120002cb971a9,Mcalister's,5
2020-04-01,New Mexico,Curry County,Hardware Stores,4b981ba4f964a520e12c35e3,Lowe's,1
2020-04-01,New Mexico,Bernalillo County,Outdoors & Recreation,526c1ad9498e36b44ab99a0c,Glass Yard,1
2020-04-01,New Mexico,Bernalillo County,Outdoors & Recreation,4d9797bb0caaa143aa4797b3,Petroglyph National Monument,2
