2020-04-01,South Dakota,Clark County,Arts & Entertainment,4d0644d08620224bec60b240,"Oak Tree Lodge, Clark, SD",1
2020-04-01,South Dakota,Codington County,Nightlife Spots,4b7450d0f964a520a8d42de3,Dempsey's Brewery Pub & Restaurant,1
2020-04-01,South Dakota,Codington County,Nightlife Spots,54d686a3498ec90e34a7a7dc,Watertown Brewing Company,2
2020-04-01,South Dakota,Codington County,Nightlife Spots,4d290dab849f3704bc9c7a41,Willy's,3
2020-04-01,South Dakota,Hughes County,Alcohol,4e7389b7aeb74f9f494ddc96,Capital City Wine And Spirits,1
2020-04-01,South Dakota,Minnehaha County,Grocery,5d1394e896effb0023e1ca02,Walmart Grocery Pickup and Delivery,1
2020-04-01,South Dakota,Minnehaha County,Grocery,4b6efdedf964a5203fd52ce3,Hy-Vee,2
2020-04-01,South Dakota,Minnehaha County,Grocery,4d439d76fcb7ba7a46c790f0,Hy-Vee,3
2020-04-01,South Dakota,Minnehaha County,Grocery,4c07ee50ffb8c9b6fd6c6761,Hy-Vee,4
2020-04-01,South Dakota,Minnehaha County,Grocery,4b8f0fa4f964a5201c4733e3,Hy-Vee,5
2020-04-01,South Dakota,Minnehaha County,Grocery,4b48e897f964a520e65c26e3,Hy-Vee,6
2020-04-01,South Dakota,Minnehaha County,Grocery,5996d0314acb197693951548,Walmart Grocery Pickup and Delivery,7
2020-04-01,South Dakota,Minnehaha County,Grocery,4b6b7d87f964a5201e0c2ce3,Hy-Vee,8
2020-04-01,South Dakota,Minnehaha County,Grocery,4cd8abcb51fc8cfa6b15eb5d,Sunshine Foods,9
2020-04-01,South Dakota,Minnehaha County,Grocery,4bbfa3b9abf495214300be93,Sunshine Foods,10
2020-04-01,South Dakota,Minnehaha County,Grocery,5dc60a6961f86c00084ce341,Walmart Grocery Pickup and Delivery,11
2020-04-01,South Dakota,Minnehaha County,Grocery,57b6258e498ed88564322580,ALDI,12
2020-04-01,South Dakota,Union County,Professional & Other Places,51e2dff3498edac0542afe07,Jefferson Community Center,1
2020-04-01,South Dakota,Union County,Professional & Other Places,4c25f6dec11dc9b69d092824,Interbake Foods,2
2020-04-01,South Dakota,Brookings County,Fast Food Restaurants,4bb3e4b5643cd13a2923395c,McDonald's,1
2020-04-01,South Dakota,Edmunds County,Food,4e4578afb61c03d0ccfe9295,Buffalo Station,1
2020-04-01,South Dakota,Edmunds County,Food,4dd698218877f1150fd4573c,Tubby' Kwik Stop,2
2020-04-01,South Dakota,Lawrence County,Drug Store,4c05a4755753c9287dd039f1,Walgreens,1
2020-04-01,South Dakota,Yankton County,Gas Stations,4df505b488772e1f81591f8b,J.R.'s Oasis,1
2020-04-01,South Dakota,Yankton County,Gas Stations,4c2c943bd1a10f4756a1f964,Hy-Vee Gas Station,2
2020-04-01,South Dakota,Yankton County,Gas Stations,4ea9b773b803cf1ffacf8117,Tj's Mini Mart,3
2020-04-01,South Dakota,Yankton County,Gas Stations,58f3a25a93bd634effa9324f,The Fox Stop,4
2020-04-01,South Dakota,Union County,Travel & Transport,4b9164f6f964a520dab833e3,Coffee Cup Travel Plaza,1
2020-04-01,South Dakota,Brown County,Government,4dd6e025d4c05d5096dbbd31,Municipal Building,1
2020-04-01,South Dakota,Minnehaha County,Drug Store,4b8b0cd1f964a5203e9032e3,Walgreens,1
2020-04-01,South Dakota,Minnehaha County,Drug Store,4b9d6d37f964a520edab36e3,Walgreens,2
2020-04-01,South Dakota,Potter County,Banks,4fd904d54cb0625ed27c2917,Bank of the West,1
2020-04-01,South Dakota,Pennington County,Outdoors & Recreation,4bbfba9574a9a593cfffcef6,Canyon Lake Park,1
2020-04-01,South Dakota,Pennington County,Outdoors & Recreation,4fa16cade4b0ebb3536af8ff,Rapid Valley Pond,2
2020-04-01,South Dakota,Minnehaha County,Food,4c76f417b4b4b60c8639260e,Starbucks,1
2020-04-01,South Dakota,Minnehaha County,Food,4bfdc18e8992a593f8a5acb0,Love's Travel Stop,2
2020-04-01,South Dakota,Minnehaha County,Food,4b8a9df9f964a520767532e3,Starbucks,3
2020-04-01,South Dakota,Minnehaha County,Food,59e4084a780eee43f886fdd2,Slim Chickens,4
2020-04-01,South Dakota,Minnehaha County,Food,4ced2fc1840a9eb087f19f13,Casey's General Store,5
