2020-04-01,West Virginia,Hancock County,Nightlife Spots,4ee18738b8f775b373652684,The Irish Pub,1
2020-04-01,West Virginia,Harrison County,Big Box Stores,4b8963b0f964a520833132e3,Walmart Supercenter,1
2020-04-01,West Virginia,Harrison County,Big Box Stores,4bfaa1eab182c9b663957a5a,Target,2
2020-04-01,West Virginia,Marshall County,Medical,4bc0f7e8abf495217e45c093,Reynolds Memorial Hospital,1
2020-04-01,West Virginia,Berkeley County,Arts & Entertainment,5129689ee4b089b2212a29ec,TJ's,1
2020-04-01,West Virginia,Raleigh County,Travel & Transport,4e7a8390a809b5699ab038a0,Beckley Travel Plaza,1
2020-04-01,West Virginia,Randolph County,Gas Stations,51dc5664498e54c9c9a22a5c,Mountaineer Mart,1
2020-04-01,West Virginia,Randolph County,Gas Stations,552833f4498ed320929e7264,Sheetz,2
2020-04-01,West Virginia,Randolph County,Gas Stations,4c657be1e75ac928c0d2f4da,Speedway,3
2020-04-01,West Virginia,Berkeley County,Travel & Transport,564f915a498e1f39982f687c,Truck Park & Rest Area,1
2020-04-01,West Virginia,Berkeley County,Travel & Transport,5086bb51e4b030d34801dba1,West Virginia Welcome Center,2
2020-04-01,West Virginia,Berkeley County,Travel & Transport,4f7e3be1e4b043dab415ccc9,West Virginia,3
2020-04-01,West Virginia,Marion County,Drug Store,56db39d4cd10b73f2aea06fe,CVS pharmacy,1
2020-04-01,West Virginia,Mingo County,Food,4d0d40687d28721e95d7f720,Cheech's,1
2020-04-01,West Virginia,Mingo County,Food,4cb90e06dd41a35d2179dfa0,Starters Sports-Bar,2
2020-04-01,West Virginia,Ohio County,Hardware Stores,4ced754a94b99eb05eb91f56,Lowe's,1
2020-04-01,West Virginia,Jackson County,Fast Food Restaurants,4bd8f1772e6f0f4733510908,McDonald's,1
2020-04-01,West Virginia,Wood County,Big Box Stores,4cb107ce1168a0938e133023,Walmart Supercenter,1
2020-04-01,West Virginia,Wood County,Big Box Stores,4bdc53843904a59373a74d9e,Walmart Supercenter,2
2020-04-01,West Virginia,Kanawha County,Travel & Transport,4b86d2dff964a520db9f31e3,Morton Travel Plaza,1
2020-04-01,West Virginia,Monongalia County,Gas Stations,4df9feea18a8ab1870bcadbb,Pilot Travel Centers,1
2020-04-01,West Virginia,Monongalia County,Gas Stations,4ba4484ef964a520c19238e3,Sheetz,2
2020-04-01,West Virginia,Monongalia County,Gas Stations,4c2d5c5de307d13a27cf0dda,Sheetz,3
2020-04-01,West Virginia,Monongalia County,Gas Stations,4be571aacf200f472e2e133c,BFS,4
2020-04-01,West Virginia,Monongalia County,Gas Stations,4fd95e0a4fc683c0ceab8d4d,Sheetz,5
2020-04-01,West Virginia,Monongalia County,Gas Stations,4b538b7bf964a5206da127e3,Sheetz,6
2020-04-01,West Virginia,Hardy County,Shops & Services,4e612bc5b993678bb5ca79c6,Tony's Fleamarket,1
2020-04-01,West Virginia,Jefferson County,Fast Food Restaurants,4bd9dc383f01c9b6b86553a5,Chick-fil-A,1
2020-04-01,West Virginia,Cabell County,Hardware Stores,4b70b1a5f964a5200d2a2de3,Lowe's,1
2020-04-01,West Virginia,Cabell County,Hardware Stores,4b6c8102f964a5204b3f2ce3,The Home Depot,2
2020-04-01,West Virginia,Randolph County,Outdoors & Recreation,4f946cc4e4b0ab5f0abea7b8,Monongahela National Forest,1
2020-04-01,West Virginia,Mercer County,Grocery,4bd45ea041b9ef3b89ce01e6,Kroger,1
2020-04-01,West Virginia,Mercer County,Grocery,4d34ce982e56236a6f1a32b4,Grants,2
2020-04-01,West Virginia,Mercer County,Grocery,4e2de342e4cdb5a70d590bf8,Grants Super Market,3
2020-04-01,West Virginia,Mercer County,Grocery,4e1cad77c65bc4a776bd2dd3,Grants Supermarket,4
2020-04-01,West Virginia,Pleasants County,Grocery,4c8baa54770fb60c46faddc3,Galaxy Food Center,1
2020-04-01,West Virginia,Taylor County,Big Box Stores,4c41b6d7520fa593d7fac9ac,Walmart Supercenter,1
2020-04-01,West Virginia,Wetzel County,Drug Store,4b8584eff964a520116331e3,Rite Aid,1
2020-04-01,West Virginia,Ohio County,Banks,4bf5561aff90c9b6f8375628,WesBanco,1
2020-04-01,West Virginia,Barbour County,Grocery,4d18cd88cc216ea8daac78d3,Shop N Save,1
2020-04-01,West Virginia,Cabell County,Drug Store,591c678fb9ac3844663d1961,Kroger Pharmacy,1
2020-04-01,West Virginia,Cabell County,Drug Store,4e6f6dc1d4c06eaf9c2c883d,Fruth Roby Rd,2
2020-04-01,West Virginia,Cabell County,Drug Store,4c387b7c2c8020a123d48a00,Walgreens,3
2020-04-01,West Virginia,Cabell County,Drug Store,4b8174caf964a52048a730e3,CVS pharmacy,4
2020-04-01,West Virginia,Cabell County,Government,5970df9210345b5dd639ddfd,Barboursville Police Department,1
2020-04-01,West Virginia,Nicholas County,Drug Store,5d4285ffbe6f750008eb3baf,Walgreens,1
2020-04-01,West Virginia,Brooke County,Convenience Store,4de93a0eb0fbcb7c9ad7fbd8,Uncle Peps,1
2020-04-01,West Virginia,Jackson County,Big Box Stores,4b6df4daf964a520dc9e2ce3,Walmart Supercenter,1
2020-04-01,West Virginia,Monongalia County,Colleges & Universities,4bbb72078a0d9521a65ad930,Milan Puskar Stadium,1
2020-04-01,West Virginia,Monongalia County,Colleges & Universities,4c3213d2a0ced13a6085146e,West Virginia University,2
2020-04-01,West Virginia,Monongalia County,Colleges & Universities,4babacadf964a52031bf3ae3,WVU Health Sciences Center,3
2020-04-01,West Virginia,Wetzel County,Colleges & Universities,4fb27e55e4b03b8c9dcd1ca8,Valley High School,1
2020-04-01,West Virginia,Mineral County,Gas Stations,4c36369f0a71c9b60fbf3cc9,Sheetz,1
2020-04-01,West Virginia,Brooke County,Medical,4b8450ebf964a520502e31e3,Weirton Medical Center,1
2020-04-01,West Virginia,Logan County,Convenience Store,58361f8583622d318474cdd3,Dollar General,1
2020-04-01,West Virginia,Mercer County,Convenience Store,4ef0d6dc0e61196dc9763b41,Village Store,1
2020-04-01,West Virginia,Nicholas County,Hardware Stores,4c434719da3dc92858aecbb9,Tractor Supply Co.,1
