2020-04-01,Colorado,El Paso County,52e81612bcbc57f1066b7a2e,Sports Clubs,577821d9498e03e656274fb1,Soccer Haus,1
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d116941735,Bars,5d3270343fa42a0008603a0d,Rocky Flats Bar & Grill,1
2020-04-01,Colorado,La Plata County,4bf58dd8d48988d112951735,Hardware Stores,4b52299ff964a5209a6c27e3,The Home Depot,1
2020-04-01,Colorado,Larimer County,4bf58dd8d48988d161941735,Lakes,4c3cf9437c1ee21e7c578d71,Boyd Lake State Park,1
2020-04-01,Colorado,Larimer County,4bf58dd8d48988d161941735,Lakes,4c239b24905a0f47bc665e60,Lake Loveland,2
2020-04-01,Colorado,Larimer County,4bf58dd8d48988d161941735,Lakes,4c687723607ad13a18cca82b,Horseshoe Lake,3
2020-04-01,Colorado,Larimer County,4bf58dd8d48988d161941735,Lakes,4de3ab17b0fb267148a1fa48,Lon Hagler Reservoir,4
2020-04-01,Colorado,Larimer County,4bf58dd8d48988d161941735,Lakes,4bf9742e8d30d13a513d0218,Carter Lake,5
2020-04-01,Colorado,Larimer County,4bf58dd8d48988d1e0941735,Harbors / Marinas,4df521dfb61cbd3ec0212c90,Boyd Lake Marina,1
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d177941735,Doctor's Offices,4b2fc565f964a52096ef24e3,Kaiser Permanente Medical Offices,1
2020-04-01,Colorado,Jefferson County,4f04ae1f2fb6e1c99f3db0ba,Car Washes,58b8c715dad263186b3722d3,Autowash @ Meadow Pointe,1
2020-04-01,Colorado,Jefferson County,4f04ae1f2fb6e1c99f3db0ba,Car Washes,4f1b4abde4b064e65be1a7b3,Ponderosa Car Wash,2
2020-04-01,Colorado,Mesa County,4bf58dd8d48988d104941735,Medical Centers,4bcc9bb9fb84c9b618b0203e,St. Mary's Hospital & Regional Medical Center,1
2020-04-01,Colorado,Mesa County,4bf58dd8d48988d104941735,Medical Centers,50c8cf66e4b06a87a0301868,Canyon View Medical Plaza,2
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e6941735,Golf Courses,4c1662c8a81db71364a785e7,The Club at Pradera,1
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e6941735,Golf Courses,4bcdd7a4937ca5930365ad92,Country Club At Castle Pines,2
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e6941735,Golf Courses,4b12ec63f964a520f19023e3,Perry Park Country Club,3
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e6941735,Golf Courses,4c06480ad3842d7f9a52bf41,The Links Golf Course,4
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e6941735,Golf Courses,4c116a38b4dfd13a13e92a8b,Highlands Ranch Golf Club,5
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e6941735,Golf Courses,4c0049f6369476b0c3328f1f,Colorado Golf Club,6
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e6941735,Golf Courses,4bfd454cf61dc9b61cbd9ede,The Links Golf Course,7
2020-04-01,Colorado,Larimer County,4cce455aebf7b749d5e191f5,Soccer Fields,4ffe0f81e4b0b1fd7a812764,Viewpointe Soccer Field,1
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d1d6941735,Strip Clubs,4c49f4455609c9b6e912028f,Dog Patch,1
2020-04-01,Colorado,Pueblo County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),4ce6dafad99f721e747aa673,Belmont Square,1
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4735123616b60cc361ffc2,McDonald's,1
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4bffe5d192a6c928da4043e2,McDonald's,2
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4baa4540f964a5209e593ae3,McDonald's,3
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b1ac74cf964a52094f123e3,Chick-fil-A,4
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4dfe7808814df5e64defcc29,Dairy Queen,5
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c25493ab7b8a59365063ee8,McDonald's,6
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b3c46e6f964a520918325e3,Chick-fil-A,7
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,5227b08d2fc695ebdf5eba94,McDonald's,8
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d221d788629224bb3c92087,Taco Bell,9
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b8d7fecf964a5206eff32e3,Chick-fil-A,10
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4bfebdf8ca1920a1ecc3eb81,Wendy’s,11
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4bd748685cf276b0beed9a00,Jack in the Box,12
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c1d8a23b306c928d7d265b7,McDonald's,13
2020-04-01,Colorado,Adams County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b2eb85cf964a5209be524e3,KFC,14
2020-04-01,Colorado,Adams County,4bf58dd8d48988d1f6931735,General Travel,589e0553bbec664e9ecc3fcd,7-11,1
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e0931735,Coffee Shops,4cdf026cf8a4a143bc5bdbbc,Starbucks,1
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e0931735,Coffee Shops,576c5f20498e6907abe4690a,Starbucks,2
2020-04-01,Colorado,El Paso County,4bf58dd8d48988d110951735,Salons / Barbershops,57e455fa498e4945fc65669f,SmartStyle,1
2020-04-01,Colorado,Fremont County,4bf58dd8d48988d16c941735,Burger Joints,4bb678ed941ad13a2d7e1fe3,Big Burger World,1
2020-04-01,Colorado,Morgan County,4bf58dd8d48988d112951735,Hardware Stores,4c052dd19a7920a1e03bd279,Murdoch's Ranch & Home Supply,1
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d124951735,Automotive Shops,4c375d55dfb0e21e03a1aca8,Loaf N Jug,1
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d124951735,Automotive Shops,518be0b3498e3a9932185b53,A Dent Specialist Inc,2
2020-04-01,Colorado,Rio Grande County,4d954b0ea243a5684a65b473,Convenience Stores,5dda1207154c6b00089e2f81,Alta Convenience,1
2020-04-01,Colorado,Weld County,4bf58dd8d48988d15b941735,Farms,4ccdea3d511b236a8d28fac9,Miller Farms,1
2020-04-01,Colorado,Weld County,4bf58dd8d48988d15b941735,Farms,4e99a4cfb634d75c1896f665,Tigges Pumpkin Farm,2
2020-04-01,Colorado,Weld County,4bf58dd8d48988d15b941735,Farms,4de6bdcd2271df8061a4d210,Horses,3
2020-04-01,Colorado,Denver County,4bf58dd8d48988d112951735,Hardware Stores,4a0cf8b9f964a52072751fe3,The Home Depot,1
2020-04-01,Colorado,Denver County,4bf58dd8d48988d112951735,Hardware Stores,4b68565af964a5206c722be3,The Home Depot,2
2020-04-01,Colorado,Denver County,4bf58dd8d48988d112951735,Hardware Stores,4a75e5c0f964a5208ce11fe3,The Home Depot,3
2020-04-01,Colorado,Denver County,4bf58dd8d48988d112951735,Hardware Stores,4baa9d01f964a520ae793ae3,The Home Depot,4
2020-04-01,Colorado,Adams County,4f04ae1f2fb6e1c99f3db0ba,Car Washes,4cbe7ae8020d46887de95c38,Blue Beacon,1
2020-04-01,Colorado,El Paso County,4bf58dd8d48988d1fd941735,Shopping Malls,4cbe0c1fb6c4224bd0f0ea94,Fort Carson PX,1
2020-04-01,Colorado,El Paso County,4bf58dd8d48988d1fd941735,Shopping Malls,4b4398c7f964a520fbe325e3,The Citadel Mall,2
2020-04-01,Colorado,El Paso County,50328a4b91d4c4b30a586d6b,Rock Climbing Spots,55fb9302498ecbc149a8e1f4,CityROCK,1
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d15f941735,Fields,4ab4017cf964a5207b6f20e3,Stenger Soccer Complex,1
2020-04-01,Colorado,Larimer County,4bf58dd8d48988d110951735,Salons / Barbershops,4ced7305e5569eb0618ab55d,Great Clips,1
2020-04-01,Colorado,Montrose County,4bf58dd8d48988d118951735,Grocery Stores,50ac0d8c6ebbe0770098166d,City Market,1
2020-04-01,Colorado,Montrose County,4bf58dd8d48988d118951735,Grocery Stores,50ac0d8c6ebbe07700981651,City Market,2
2020-04-01,Colorado,Montrose County,4bf58dd8d48988d118951735,Grocery Stores,4bb909e03db7b713efec219a,Safeway,3
2020-04-01,Colorado,Otero County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d8512bb5e70224b9ef71a09,SONIC Drive In,1
2020-04-01,Colorado,Chaffee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c3e5b4583a3a5938607ee33,McDonald's,1
2020-04-01,Colorado,Denver County,4bf58dd8d48988d1e5941735,Dog Runs,4b462395f964a520b71726e3,Purina,1
2020-04-01,Colorado,El Paso County,4bf58dd8d48988d121941735,Lounges,52ec86a3498eeb94683b509a,Home,1
2020-04-01,Colorado,El Paso County,4bf58dd8d48988d121941735,Lounges,4d6e79ccfbb8a1cdcc86740f,Farside Lounge,2
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d163941735,Parks,4b55df44f964a520f7f327e3,Crown Hill Open Space Park,1
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d163941735,Parks,4c2f6b20452620a10c721d0f,Terrace Park,2
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d163941735,Parks,4c23bffe136d20a1fcb6e061,Bear Creek Greenbelt,3
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d163941735,Parks,4cfa8f06c6cca35d6b0d8732,Top Of Green Mountain,4
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d163941735,Parks,4dd6c132d22d38ef42d78020,Deer Creek Canyon Park,5
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d163941735,Parks,4bf71dd55317a593f383fd7e,Westminster City Park,6
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d163941735,Parks,4c8ad5c6770fb60c4985d6c3,Ryan park,7
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d163941735,Parks,4bd60ee4cfa7b71310f326da,Panorama Park,8
2020-04-01,Colorado,Jefferson County,4bf58dd8d48988d163941735,Parks,4dee791dd22deb0316f7e8da,Foothills Park,9
2020-04-01,Colorado,Las Animas County,4bf58dd8d48988d113951735,Gas Stations,4d1cef665acaa35d0249a935,Shell,1
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c7eaef5d51ea143e367589f,SONIC Drive In,1
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c06eddacf8c76b0824d3b65,McDonald's,2
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b3e56fdf964a520889b25e3,Sonic Drive-In,3
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4ba57d00f964a5200e0c39e3,SONIC Drive In,4
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4bda06a83904a593d4ba449e,McDonald's,5
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4bacd80bf964a52031113be3,McDonald's,6
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c422167ce54e21e8c330c1a,McDonald's,7
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b946709f964a520fa7734e3,Dairy Queen,8
2020-04-01,Colorado,Pueblo County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4f10d80ce4b07e9ec9cc1e6c,Chick-fil-A,9
2020-04-01,Colorado,Arapahoe County,4bf58dd8d48988d129951735,Train Stations,4b606230f964a520ede229e3,RTD - Arapahoe at Village Center Light Rail Station,1
2020-04-01,Colorado,Arapahoe County,4bf58dd8d48988d1c9941735,Ice Cream Shops,598e2ca0666116729db22b41,Andy's Frozen Custard,1
2020-04-01,Colorado,Chaffee County,50327c8591d4c4b30a586d5d,Breweries,4f0b662710818923ec7f4379,Elevation Beer Company,1
2020-04-01,Colorado,Denver County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),575f3ed6498ed7b9603d67b4,Park hill 4000/4100,1
2020-04-01,Colorado,Denver County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),5a978b03dd844272b668eee8,Post River North,2
2020-04-01,Colorado,Denver County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),5504b002498e0c5c139bfddc,Pine Creek Apartments,3
2020-04-01,Colorado,Denver County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),588128d6e9dad12feba4588c,Cielo Apartments,4
2020-04-01,Colorado,Denver County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),4c114003d917c928be67b562,The Ridge at Lowry Apartments,5
2020-04-01,Colorado,Douglas County,4bf58dd8d48988d1e2941735,Beaches,4d1c7abbfd7bb60cbd329ee1,Pinery Lake,1
2020-04-01,Colorado,Douglas County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,4adbae41f964a520f92921e3,Walmart Supercenter,1
2020-04-01,Colorado,Douglas County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,4b130478f964a520bf9223e3,Walmart Supercenter,2
2020-04-01,Colorado,Douglas County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,4b117be2f964a5208f7d23e3,Walmart Supercenter,3
2020-04-01,Colorado,Douglas County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,4b1aa706f964a5206aee23e3,Target,4
2020-04-01,Colorado,Douglas County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,4c178fc5c2dfc928c82da869,Target,5
