2020-04-01,Florida,Bay County,50327c8591d4c4b30a586d5d,Breweries,5d0d7bc396effb00307e53c6,Salty Oak Brewing Co.,1
2020-04-01,Florida,Brevard County,4bf58dd8d48988d124951735,Automotive Shops,599264d96fa81f0df1448298,Walmart Auto Care Centers,1
2020-04-01,Florida,Brevard County,4bf58dd8d48988d124951735,Automotive Shops,4c828347d4e23704141b6888,BJ's Gas Station,2
2020-04-01,Florida,Brevard County,4bf58dd8d48988d124951735,Automotive Shops,4e432062b61ce646d99fdf5b,My Shop,3
2020-04-01,Florida,Brevard County,4bf58dd8d48988d1fa931735,Hotels,58f99926da2e005723de5247,Melbourne All Suites Inn,1
2020-04-01,Florida,Broward County,4f04b1572fb6e1c99f3db0bf,Storage Facilities,563d87a9cd1059cb2a306a97,Extra Space Storage,1
2020-04-01,Florida,Escambia County,4f4533804b9074f6e4fb0105,Elementary Schools,4c05589439d476b0d0be32a7,L.D. McArthur Elementary,1
2020-04-01,Florida,Hillsborough County,4bf58dd8d48988d117941735,Beer Gardens,5338ebb0498ec13b5aed79df,The Layover,1
2020-04-01,Florida,Hillsborough County,4bf58dd8d48988d117941735,Beer Gardens,4d56d699cf1b37040903c43f,Rivers Edge,2
2020-04-01,Florida,Jackson County,4bf58dd8d48988d118951735,Grocery Stores,4c029b02f423a59391ffce16,Winn-Dixie,1
2020-04-01,Florida,Jackson County,4bf58dd8d48988d118951735,Grocery Stores,4d37648f803ba35d8e3292fc,WR McDaniel's Grocery,2
2020-04-01,Florida,Jackson County,4bf58dd8d48988d118951735,Grocery Stores,4dc59234d22dafda2fa872ba,Grocery Outlet,3
2020-04-01,Florida,Jackson County,4bf58dd8d48988d118951735,Grocery Stores,4c50533fdcb5d13a5b2fd008,Piggly Wiggly,4
2020-04-01,Florida,Martin County,4d954af4a243a5684765b473,Veterinarians,4caf4254eb65b1f7c72762cd,Martin Downs Animal Hospital,1
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4b05869ef964a520146822e3,Florida Hospital Orlando,1
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4b05869ef964a520026822e3,Orlando Regional Medical Center,2
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4b43a7d9f964a52061e525e3,Winnie Palmer Hospital For Women & Babies,3
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4b465f90f964a520091f26e3,Florida Hospital East Orlando,4
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4d591d6b4d9a721e8d573d0e,Nemours Children’s Hospital,5
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4c75428bdb52b1f7d92e78dc,Orlando VA Medical Center,6
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4b633d7df964a520dc6c2ae3,Health Central Hospital,7
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,59bbd5a882a7500653f647a7,FH Engineering Services,8
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,58fdeceada5e563dd487cb03,Winnie Palmer L&D Reception,9
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4b633de6f964a520f86c2ae3,Dr. P. Phillips Hospital,10
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4c57d80b6418a5936045800e,Florida Hospital Ginsburg Tower,11
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,56ea8cca498ec120ac9185a3,Florida Hospital Apopka,12
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4b5c4baef964a520f52929e3,Winter Park Memorial Hospital,13
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,57da8f73498e8c4f415f489b,North Tower @ORMC,14
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4e31bed9b61c387349a431d2,Orlando Health And Rehab,15
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,568a65dc498e00c01bcad5e4,Florida Hospital for Women,16
2020-04-01,Florida,Orange County,4bf58dd8d48988d196941735,Hospitals,4bcc6db43740b71392f46365,VA Hospital,17
2020-04-01,Florida,Pinellas County,4bf58dd8d48988d125941735,Tech Startups,4b4162adf964a52015c625e3,Valpak Manufacturing Center,1
2020-04-01,Florida,Pinellas County,4bf58dd8d48988d145941735,Chinese Restaurants,4b3783d1f964a520b34125e3,Panda Express,1
2020-04-01,Florida,Pinellas County,4bf58dd8d48988d145941735,Chinese Restaurants,4b8ff1f6f964a520456b33e3,China Star,2
2020-04-01,Florida,Pinellas County,4bf58dd8d48988d161941735,Lakes,4b7975cdf964a52096fa2ee3,Freedom Lake Park,1
2020-04-01,Florida,Pinellas County,4bf58dd8d48988d161941735,Lakes,4c3e9735b8b4be9ad46eccef,Lake Tarpon,2
2020-04-01,Florida,Pinellas County,4bf58dd8d48988d161941735,Lakes,57cc0c93498e00f91988e0f3,Don't Molest the Gators,3
2020-04-01,Florida,Pinellas County,4bf58dd8d48988d161941735,Lakes,4b52295ff964a5207e6c27e3,Boca Ciega Millennium Park,4
2020-04-01,Florida,Pinellas County,4bf58dd8d48988d161941735,Lakes,4ca8a4e5b7106dcb476474a5,Joe's Creek Greenway Park,5
2020-04-01,Florida,Pinellas County,4bf58dd8d48988d161941735,Lakes,500dd02ce4b0db14bdef9ced,Harshaw Lake #2,6
2020-04-01,Florida,Polk County,52e816a6bcbc57f1066b7a54,Warehouse Stores,4b5b56bef964a520cdf528e3,Sam's Club,1
2020-04-01,Florida,Polk County,52e816a6bcbc57f1066b7a54,Warehouse Stores,4b548cd9f964a52096bf27e3,Sam's Club,2
2020-04-01,Florida,Collier County,4bf58dd8d48988d147941735,Diners,4c2f636aa0ced13afe65106e,Kountry Kitchen,1
2020-04-01,Florida,Escambia County,52f2ab2ebcbc57f1066b8b44,Auto Garages,5d83cd50a3d686000776e2f3,Tesla Service Center,1
2020-04-01,Florida,Gilchrist County,4bf58dd8d48988d163941735,Parks,4e050ac91838eb15aef19f85,Cave Excursions East,1
2020-04-01,Florida,Hillsborough County,4bf58dd8d48988d10a951735,Banks,4ddd02507d8b3654d50d1409,Suntrust Bank,1
2020-04-01,Florida,Hillsborough County,4bf58dd8d48988d10a951735,Banks,4dd2b1298877261f7101c357,Amscot,2
2020-04-01,Florida,Hillsborough County,4bf58dd8d48988d10a951735,Banks,4c49d5d09e3e2d7f9c885149,Suncoast Schols FCU,3
2020-04-01,Florida,Hillsborough County,4bf58dd8d48988d10a951735,Banks,4bbb91d5ed7776b0529e3e51,Wells Fargo,4
