2020-04-01,Michigan,Bay County,4bf58dd8d48988d165941735,Scenic Lookouts,538397d8498e7fd31bdb8b1f,The Waterfront,1
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,5d5f179f92ab450008ba6a8e,Walmart Grocery Pickup & Delivery,1
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,4c3e12daca012d7f54fb2ebe,Park Street Market,2
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,4b7f1595f964a5204b1530e3,D&W Fresh Market,3
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,5c4b7f4558002c002ca75b07,Walmart Grocery Pickup and Delivery,4
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,4b96e499f964a520eceb34e3,ALDI,5
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,4bb3916da32876b08ee401fe,Harding's Friendly Market,6
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,59dfb86f0881586aa1813655,Trader Joe's,7
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,4b897f28f964a5200b3c32e3,Harding's Friendly Market,8
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,4ba9396df964a520e9153ae3,ALDI,9
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,4ba638c8f964a520d03c39e3,Harding's Friendly Market,10
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,53ee9a9e498eec00f02d28fb,ALDI,11
2020-04-01,Michigan,Kalamazoo County,4bf58dd8d48988d118951735,Grocery Stores,4c79790d97028cfa6745dbfe,Harding's Market,12
2020-04-01,Michigan,Van Buren County,4bf58dd8d48988d118951735,Grocery Stores,5c4b7fb3d807ee002c656872,Walmart Grocery Pickup,1
2020-04-01,Michigan,Van Buren County,4bf58dd8d48988d118951735,Grocery Stores,4b817e02f964a520f3a930e3,Family Fare,2
2020-04-01,Michigan,Van Buren County,4bf58dd8d48988d118951735,Grocery Stores,4d8e8a621716a143f9c435f7,Harding's Friendly Market,3
2020-04-01,Michigan,Van Buren County,4bf58dd8d48988d118951735,Grocery Stores,4c7af9e281bca093ec440215,Harding's Friendly Market,4
2020-04-01,Michigan,Wayne County,4bf58dd8d48988d1c1941735,Mexican Restaurants,526bf7cf11d2dd312c6852a6,Chili's,1
2020-04-01,Michigan,Lenawee County,50327c8591d4c4b30a586d5d,Breweries,569820b8498ec7583dee7a05,Cotton Brewing Tasting Room,1
2020-04-01,Michigan,Monroe County,4bf58dd8d48988d172941735,Post Offices,4c23c09db7b8a5931f5d3be8,US Post Office,1
2020-04-01,Michigan,Monroe County,4bf58dd8d48988d172941735,Post Offices,4e25c9d0b61ceeea677f12b9,US Post Office,2
2020-04-01,Michigan,Oceana County,4d954b16a243a5684b65b473,Rest Areas,4e14935a1f6e33e7180bde9e,Rothbury Rest Area 529,1
2020-04-01,Michigan,Ogemaw County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,4b4f4076f964a520c1fe26e3,Walmart Supercenter,1
2020-04-01,Michigan,Osceola County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b65b1e7f964a5200bfa2ae3,McDonald's,1
2020-04-01,Michigan,Saint Clair County,4d4b7105d754a06374d81259,Food,4e3c984d1838cb1b82e55d01,Champions Sports Bar & Grill,1
2020-04-01,Michigan,Van Buren County,58daa1548bbb0b01f18ec1a9,Power Plants,4bd7342735aad13a78608ef3,Palisades Nuclear Plant,1
2020-04-01,Michigan,Wayne County,4bf58dd8d48988d1c5941735,Sandwich Places,4ddbbadcb0fb2604df6fb079,SUBWAY,1
2020-04-01,Michigan,Wayne County,4bf58dd8d48988d1c5941735,Sandwich Places,4f0af4e0e4b090ef24740f22,SUBWAY,2
2020-04-01,Michigan,Wayne County,4bf58dd8d48988d1c5941735,Sandwich Places,514213c23d7ca5b4135a9d9a,Jimmy John's,3
2020-04-01,Michigan,Wayne County,4bf58dd8d48988d1c5941735,Sandwich Places,4c40a3aee26920a100365de7,SUBWAY,4
2020-04-01,Michigan,Kent County,4bf58dd8d48988d120951735,Food Courts,5652388e498e5980709176e1,Costco Food Court,1
2020-04-01,Michigan,Wayne County,4bf58dd8d48988d11a941735,Other Nightlife,4cf1a46dc9af6dcb6e1a9b7f,Good Times,1
2020-04-01,Michigan,Wexford County,52e81612bcbc57f1066b7a3a,Chiropractors,4e4ecfed8877402b06bae429,Kiley Chiropractic,1
2020-04-01,Michigan,Calhoun County,4bf58dd8d48988d112951735,Hardware Stores,4c11487cd917c9282e76b562,Lowe's,1
2020-04-01,Michigan,Calhoun County,4bf58dd8d48988d112951735,Hardware Stores,4be95a5ad837c9b6a44ba606,Menards,2
2020-04-01,Michigan,Calhoun County,4bf58dd8d48988d112951735,Hardware Stores,4be497c3bcef2d7f2cc802e5,Tractor Supply Co.,3
2020-04-01,Michigan,Calhoun County,4bf58dd8d48988d112951735,Hardware Stores,4c12993ea9c220a17e48549d,Great Lakes Ace Hardware,4
2020-04-01,Michigan,Calhoun County,4bf58dd8d48988d112951735,Hardware Stores,4c6780ee8f5b9521dbfd001c,Harbor Freight Tools,5
2020-04-01,Michigan,Chippewa County,4bf58dd8d48988d1ca941735,Pizza Places,4e986b11722ed8d43ba76fcb,Pizza Patch,1
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d104941735,Medical Centers,521e446111d2d2d38400ee55,Mclaren MRI Flint,1
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d104941735,Medical Centers,4fc64b94e4b066a4674bf305,Hamilton Community Health Network - Main Clinic,2
2020-04-01,Michigan,Jackson County,52e816a6bcbc57f1066b7a54,Warehouse Stores,4bf4458b706e20a1e025a998,Sam's Club,1
2020-04-01,Michigan,Livingston County,4bf58dd8d48988d15b941735,Farms,58cc79472ec3647b453976e9,Rural King,1
2020-04-01,Michigan,Osceola County,4bf58dd8d48988d118951735,Grocery Stores,4c928aefd2e1a1437d45cb26,Fosters Supermarket,1
2020-04-01,Michigan,Sanilac County,4bf58dd8d48988d104941735,Medical Centers,4f9ecc6ee4b04dce46be9d7c,Sanilac Medical Care Facility,1
2020-04-01,Michigan,Tuscola County,4bf58dd8d48988d1f8931735,Bed & Breakfasts,4bc3a9c3dce4eee136b3719d,Cinnamon Stick Bed & Breakfast,1
2020-04-01,Michigan,Washtenaw County,4bf58dd8d48988d1ab941735,Student Centers,4ede9a44be7b76069774eb61,Willow Run,1
2020-04-01,Michigan,Wayne County,54541900498ea6ccd0202697,Health & Beauty Services,552018ea498e070eca5bb1dc,Wal-Mart SmartStyle,1
2020-04-01,Michigan,Lapeer County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4be4f108cf200f475fc0123c,Taco Bell,1
2020-04-01,Michigan,Lapeer County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4baab50bf964a52079813ae3,McDonald's,2
2020-04-01,Michigan,Ottawa County,4f04b1572fb6e1c99f3db0bf,Storage Facilities,4d4c6ee29bbb721e70d192a0,Access Mini Storage,1
2020-04-01,Michigan,Roscommon County,4bf58dd8d48988d161941735,Lakes,4fac0737e4b003f556730dd8,Houghton Lake,1
2020-04-01,Michigan,Emmet County,4bf58dd8d48988d165941735,Scenic Lookouts,4c69dd7a897b1b8d1976b017,Sunset Park,1
2020-04-01,Michigan,Genesee County,5454144b498ec1f095bff2f2,Construction & Landscaping,50104b5ee4b03a1c283591ce,DM Burr Mechanical,1
2020-04-01,Michigan,Monroe County,52dea92d3cf9994f4e043dbb,Discount Stores,4bf5f6639abec9b6011f25e8,Dollar Tree,1
2020-04-01,Michigan,Wayne County,5032891291d4c4b30a586d68,Assisted Living,50a71f71e4b025015b605cc5,Warren Ave,1
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d8902ee5db741bdb9c28b5f,McDonald's,1
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4bc4ec63c839ef3bd764304e,McDonald's,2
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c7df489d598a093ed80c462,McDonald's,3
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b4b725ff964a520fe9b26e3,McDonald's,4
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b53591df964a5207e9827e3,McDonald's,5
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d8902ec5db741bd54c28b5f,McDonald's,6
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c6f10abb3ce224b4cbf6fc6,McDonald's,7
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4cbb7e90035d236a9d82e04e,McDonald's,8
2020-04-01,Michigan,Genesee County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c5b1066b05c1b8df8ccd9b1,Burger King,9
2020-04-01,Michigan,Kalamazoo County,4eb1bdde3b7b55596b4a7490,Photography Labs,5989923c01559a531f4f9a5c,Walmart Photo Center,1
2020-04-01,Michigan,Lapeer County,4bf58dd8d48988d10f951735,Pharmacies,551c1116498e6d8696180c11,Walmart Pharmacy,1
2020-04-01,Michigan,Lapeer County,4bf58dd8d48988d10f951735,Pharmacies,4b882efef964a520bfe531e3,Rite Aid,2
2020-04-01,Michigan,Macomb County,4bf58dd8d48988d1fa941735,Farmers Markets,4b6de034f964a520db972ce3,Joe Randazzo's,1
2020-04-01,Michigan,Macomb County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),4cac61d576d3a093bfe8306b,Peachtree Apartments,1
2020-04-01,Michigan,Macomb County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),4e591edad164da2b275e12c2,Silver Pines Village,2
2020-04-01,Michigan,Wayne County,52dea92d3cf9994f4e043dbb,Discount Stores,5b0321500d173f002cd3ef9c,Dollar Tree,1
2020-04-01,Michigan,Wayne County,52dea92d3cf9994f4e043dbb,Discount Stores,4da249257ccc816eaf9b657b,Family Dollar,2
2020-04-01,Michigan,Wayne County,52dea92d3cf9994f4e043dbb,Discount Stores,4ece6cfa93ad987b4ac43573,Dollar General,3
2020-04-01,Michigan,Wayne County,52dea92d3cf9994f4e043dbb,Discount Stores,4bc1de89920eb71313381b2c,Dollar Tree,4
