2020-04-01,North Carolina,Caldwell County,4bf58dd8d48988d177941735,Doctor's Offices,4e429d28b0fb09b60870503e,"Hallmark Family Physicians, P.A.",1
2020-04-01,North Carolina,Chatham County,4bf58dd8d48988d171941735,Event Spaces,537792d8498e1ef29fab5d41,The Bradford,1
2020-04-01,North Carolina,Durham County,4bf58dd8d48988d1aa941735,College Quads,4bd0ff4e046076b0d43b7171,Duke University East Campus,1
2020-04-01,North Carolina,Granville County,4bf58dd8d48988d1eb931735,Airport Terminals,4b9fe363f964a520cc4737e3,Air Cobra,1
2020-04-01,North Carolina,Iredell County,4eb1bea83b7b6f98df247e06,Factories,4bd82cb3e914a593758f52fa,Lowe's Regional Distribution Center #960,1
2020-04-01,North Carolina,Iredell County,4eb1bea83b7b6f98df247e06,Factories,4f2b07a0e4b0a98a48186e12,"Niagara Bottling, LLC",2
2020-04-01,North Carolina,Onslow County,4bf58dd8d48988d174941735,Coworking Spaces,4fd0ec7fe4b0033d4d273e25,Page 21,1
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,5058fbb2c593f3e03f13fd53,Food Lion Grocery Store,1
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,5058fbb2c593f3e03f13fd4e,Food Lion Grocery Store,2
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4c8515a4ee6fef3b1fa9395c,Food Lion Grocery Store,3
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4bed766e91380f4754e99f18,Food Lion Grocery Store,4
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4b33c67cf964a520ea1e25e3,Harris Teeter,5
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4bc64da5db8fa593fe259c37,Food Lion Grocery Store,6
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4b62205af964a52032372ae3,Food Lion Grocery Store,7
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4b96935df964a520e4d534e3,Food Lion Grocery Store,8
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,54cfadac498ed0ce75733817,Food Lion Grocery Store,9
2020-04-01,North Carolina,Rowan County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4c8588a4ee6fef3b0dc53c5c,Food Lion Grocery Store,10
2020-04-01,North Carolina,Wake County,4bf58dd8d48988d171941735,Event Spaces,4d92e16c52ed224bda7f10ac,Shack A Lackee,1
2020-04-01,North Carolina,Wilkes County,4d4b7105d754a06374d81259,Food,4f32751719836c91c7d9b365,Igloo Ice Cream and Sandwich Shop,1
2020-04-01,North Carolina,Wilson County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4ba7ac21f964a52061a839e3,Food Lion Grocery Store,1
2020-04-01,North Carolina,Wilson County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4c502ef9f080a5933de613e2,Food Lion Grocery Store,2
2020-04-01,North Carolina,Wilson County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4bafb244f964a52085183ce3,Harris Teeter,3
2020-04-01,North Carolina,Wilson County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4b631090f964a5209f602ae3,Food Lion Grocery Store,4
2020-04-01,North Carolina,Wilson County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4c36086318e72d7f291d14f5,Aldi,5
2020-04-01,North Carolina,Cumberland County,4d954b0ea243a5684a65b473,Convenience Stores,5a81cdfc5d891b5c0bb927a0,Circle K,1
2020-04-01,North Carolina,Cumberland County,4d954b0ea243a5684a65b473,Convenience Stores,587379fed4ab7350e174e5b3,Circle K,2
2020-04-01,North Carolina,Cumberland County,4d954b0ea243a5684a65b473,Convenience Stores,511bafdae4b0392b31159f71,Hope Mills ABC,3
