2020-04-01,Oklahoma,Carter County,4bf58dd8d48988d116941735,Bars,4e8297fe49016ffc66adba67,Starlite,1
2020-04-01,Oklahoma,Grady County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c64513c7b241b8db1fec3ac,SONIC Drive In,1
2020-04-01,Oklahoma,Grady County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4b6cc2fcf964a52089522ce3,McDonald's,2
2020-04-01,Oklahoma,Grady County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c64699f2a58c9b67b163561,McDonald's,3
2020-04-01,Oklahoma,Grant County,4bf58dd8d48988d113951735,Gas Stations,4cb8fd59d78f4688169db373,Hot Stuff,1
2020-04-01,Oklahoma,Grant County,4bf58dd8d48988d113951735,Gas Stations,4c6a9b93d0bdc9b6b9e0a80b,Pond Creek Coop,2
2020-04-01,Oklahoma,Grant County,4bf58dd8d48988d113951735,Gas Stations,4d78409871a68cfa089a0286,Jiffy Trip,3
2020-04-01,Oklahoma,Greer County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d3e538d6b3d236ae9d17164,SONIC Drive In,1
2020-04-01,Oklahoma,Kingfisher County,4bf58dd8d48988d113951735,Gas Stations,53403fab498eed251fe24350,Love's Country Store,1
2020-04-01,Oklahoma,Kingfisher County,4bf58dd8d48988d113951735,Gas Stations,4ba273fdf964a52052fa37e3,Love's Country Store,2
2020-04-01,Oklahoma,Le Flore County,4bf58dd8d48988d113951735,Gas Stations,4d3727ee0a0b721e0c65989b,Finish Line,1
2020-04-01,Oklahoma,Le Flore County,4bf58dd8d48988d113951735,Gas Stations,4e4560ea62e148603b638f5d,Choctaw Travel Plaza,2
2020-04-01,Oklahoma,Le Flore County,4bf58dd8d48988d113951735,Gas Stations,4b7b3f6df964a520615a2fe3,Travel Plaza,3
2020-04-01,Oklahoma,Le Flore County,4bf58dd8d48988d113951735,Gas Stations,4c07bcd0271dc9b6aa432b9a,Tote-A-Poke,4
2020-04-01,Oklahoma,Osage County,4deefb944765f83613cdba6e,Historic Sites,509d5e75e4b04722890c883b,Cyrus Avery Plaza,1
2020-04-01,Oklahoma,Tulsa County,4bf58dd8d48988d163941735,Parks,4c2d0f57e116e21e4af18d60,Crescent Park,1
2020-04-01,Oklahoma,Tulsa County,4bf58dd8d48988d163941735,Parks,4be5896c2457a5935793ab15,Washington Irving Memorial Park,2
2020-04-01,Oklahoma,Tulsa County,4bf58dd8d48988d163941735,Parks,4ba799cdf964a52042a139e3,River Parks-41st Street Plaza,3
2020-04-01,Oklahoma,Tulsa County,4bf58dd8d48988d163941735,Parks,569db8ec498e49b6b62fe12e,Riverview Rv Park,4
2020-04-01,Oklahoma,Adair County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c0a7e01ffb8c9b6ad9c6b61,McDonald's,1
2020-04-01,Oklahoma,Bryan County,4bf58dd8d48988d1df931735,BBQ Joints,4e14d9df52b1b9e5643b30ae,Push'em Station,1
2020-04-01,Oklahoma,Delaware County,4bf58dd8d48988d118951735,Grocery Stores,4d409ae7b7c25941ca5bbbdb,Harps Food Store,1
2020-04-01,Oklahoma,Delaware County,4f2a210c4b9023bd5841ed28,Housing Developments,4c63480058810f474579091e,Gran Tara,1
2020-04-01,Oklahoma,Stephens County,4bf58dd8d48988d110941735,Italian Restaurants,4b7de8a4f964a52064d92fe3,Giuseppe's Italian Dining,1
2020-04-01,Oklahoma,Tulsa County,4e52d2d203646f7c19daa8ae,Animal Shelters,4bd1fa8e9854d13a81abfa4d,Tulsa Animal Shelter,1
2020-04-01,Oklahoma,Cleveland County,52f2ab2ebcbc57f1066b8b46,Supermarkets,573cedd9498e2a2f3d7ebf3b,Walmart Supercenter,1
2020-04-01,Oklahoma,Cleveland County,52f2ab2ebcbc57f1066b8b46,Supermarkets,527cf40d11d24b9ee1a2e996,Crest,2
2020-04-01,Oklahoma,Cleveland County,52f2ab2ebcbc57f1066b8b46,Supermarkets,592170a789e4906375bc7e63,WinCo Foods,3
2020-04-01,Oklahoma,Cleveland County,52f2ab2ebcbc57f1066b8b46,Supermarkets,4b3d12cff964a520548d25e3,Homeland,4
2020-04-01,Oklahoma,Coal County,4bf58dd8d48988d16e941735,Fast Food Restaurants,4c531167f5f3d13a42cee2f7,SONIC Drive In,1
