2020-04-01,Pennsylvania,Allegheny County,4bf58dd8d48988d174941735,Coworking Spaces,4bdb197163c5c9b65e552668,Heinz 57 Center,1
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4b50c9c2f964a5208e3227e3,Giant,1
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4b4bd5f4f964a5201aa926e3,Giant,2
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4bba20933db7b713acee229a,Giant,3
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,55ccf584498ed4b634c7080d,ALDI,4
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4c02bfa7f423a593fb40cf16,Giant,5
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4b4facddf964a520501027e3,Giant,6
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4c0badc7ffb8c9b6248c6d61,GIANT Food Stores,7
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4b5a526df964a5201cbd28e3,Giant,8
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4b08624df964a5209e0a23e3,Giant,9
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,57c868fd498ef747913fc5c0,Gigante International Food Market,10
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,5d041fefc876c8002c1ba83d,BB’s Grocery Outlet,11
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4b703d2cf964a520510d2de3,Grocery Outlet,12
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4c0e9f427189c928c0ccd8b6,Redner's Warehouse Market,13
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,5a5e2152947c0575188275f0,Whole Foods Market,14
2020-04-01,Pennsylvania,Chester County,4bf58dd8d48988d118951735,Grocery Stores,4c124cb877cea5939abecc60,Eby's Market,15
2020-04-01,Pennsylvania,Chester County,5bae9231bedf3950379f89d0,State / Provincial Parks,4ba52283f964a52005e238e3,Marsh Creek State Park/Lake,1
2020-04-01,Pennsylvania,Dauphin County,4bf58dd8d48988d1eb931735,Airport Terminals,4bba84fe3db7b713b570239a,Cargo Ramp Ups/Fedex,1
2020-04-01,Pennsylvania,Delaware County,4bf58dd8d48988d13b941735,Schools,500d72ece4b0db14bdc3c541,Southeast Delco School District,1
2020-04-01,Pennsylvania,Lehigh County,4bf58dd8d48988d163941735,Parks,4b928722f964a5202f0134e3,Trexler Park,1
2020-04-01,Pennsylvania,Lehigh County,4bf58dd8d48988d163941735,Parks,4bd0c804046076b0e6af7071,Cedar Creek Park,2
2020-04-01,Pennsylvania,Lehigh County,4bf58dd8d48988d163941735,Parks,4ba54590f964a52069f438e3,Rose Garden,3
2020-04-01,Pennsylvania,Lehigh County,4bf58dd8d48988d163941735,Parks,4bf3dc53e5eba593b1ee1e90,Emmaus Park,4
2020-04-01,Pennsylvania,Lehigh County,4bf58dd8d48988d163941735,Parks,4b893970f964a5201e2432e3,Little Lehigh Parkway,5
2020-04-01,Pennsylvania,Lehigh County,4bf58dd8d48988d163941735,Parks,4fd99dbde4b0ce52b0b033b0,Lehigh Parkway,6
2020-04-01,Pennsylvania,Luzerne County,4bf58dd8d48988d14e941735,American Restaurants,4b5e2878f964a520ea8029e3,Powerhouse Eatery,1
2020-04-01,Pennsylvania,Lycoming County,4bf58dd8d48988d194941735,Emergency Rooms,4f4584f5e4b0b2b96a4a5f6e,WRMC Emergency Department,1
2020-04-01,Pennsylvania,Philadelphia County,4cce455aebf7b749d5e191f5,Soccer Fields,4c861df8e602b1f793eebc7a,Parkwood Fields,1
2020-04-01,Pennsylvania,Philadelphia County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,4a6cccb8f964a520afd11fe3,Walmart Supercenter,1
