2020-04-01,Texas,Bowie County,4bf58dd8d48988d10a951735,Banks,4e206c5f52b1f82ffb93b1ed,Wells Fargo,1
2020-04-01,Texas,Brazoria County,4bf58dd8d48988d189941735,Football Stadiums,5a71f7d9c0f1630ecaf7cd81,Freedom Field,1
2020-04-01,Texas,Caldwell County,4d954b0ea243a5684a65b473,Convenience Stores,4afaedfef964a520a11922e3,Buc-ee’s,1
2020-04-01,Texas,Calhoun County,4f4533804b9074f6e4fb0105,Elementary Schools,4e773911ae60c32851e4a9b5,Jackson-Roosevelt Elementary,1
2020-04-01,Texas,Colorado County,4bf58dd8d48988d1e8941735,Baseball Fields,4d924c61b053b60c055577cb,Columbus High School Football Field & Track,1
2020-04-01,Texas,Denton County,4d4ae6fc7a7b7dea34424761,Fried Chicken Joints,5b4639f92be425002c31dfd8,Raising Cane's Chicken Fingers,1
2020-04-01,Texas,El Paso County,4bf58dd8d48988d1cb941735,Food Trucks,576158a4498e2fdfe6d6d7cf,Chepe's mexican food,1
2020-04-01,Texas,Hansford County,4d954b0ea243a5684a65b473,Convenience Stores,565e2f6a498ecb601417fce0,CEFCO,1
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,54c2a48f498e342726ae9148,Fiesta,1
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,4b64b009f964a5207dc82ae3,Tepatitlan Bakery,2
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,5aaf11d2b37e2b16aff3a519,Panaderia Bakery Tierra Caliente,3
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,504e57b1e4b08d4fcbbf26bb,Ghetto Cakes,4
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,51ae86e6498ee77f88da514d,Panaderia Bakery Tierra Caliente,5
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,4c9b700a7421b71335000614,Arandas Bakery,6
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,4c28e7023492a5935818b828,Pan Rico Colombian Bakery,7
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,51c057dc498e901b4f13f258,Panera Bread,8
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,4f9c8bf8e4b01764661b0c75,El Bolillo Bakery,9
2020-04-01,Texas,Harris County,4bf58dd8d48988d16a941735,Bakeries,551aee9e498eb69b071daf2f,Bakery Outlet,10
2020-04-01,Texas,Harris County,5032850891d4c4b30a586d62,Credit Unions,4db1b6a24b22ba776d892ffa,Investex credit Union,1
2020-04-01,Texas,Harris County,5032850891d4c4b30a586d62,Credit Unions,4c69a2570e98a59346fa2459,Shell Federal Credit Union,2
2020-04-01,Texas,Harris County,5032850891d4c4b30a586d62,Credit Unions,50a69503e4b04d06258194a4,TDECU,3
2020-04-01,Texas,Harris County,5032850891d4c4b30a586d62,Credit Unions,4c0e5d67c700c9b688b7a3dd,United Community Credit Union,4
2020-04-01,Texas,Harris County,5032850891d4c4b30a586d62,Credit Unions,4c6e8bf6f338236af9ad0a1b,Houston highway credit union,5
2020-04-01,Texas,Harris County,56aa371be4b08b9a8d573550,Food Services,5ae75292bd4009002cc253eb,Chick-fil-A,1
2020-04-01,Texas,Harris County,56aa371be4b08b9a8d573550,Food Services,5b35ec3525fb7b002cf3cb8e,Chick-fil-A,2
2020-04-01,Texas,Harris County,56aa371be4b08b9a8d573550,Food Services,5aebe48589e49000390d527a,Chick-fil-A,3
2020-04-01,Texas,Harris County,56aa371be4b08b9a8d573550,Food Services,58f8e0103731ee2f5877e4ea,Chick-fil-A,4
2020-04-01,Texas,Harris County,56aa371be4b08b9a8d573550,Food Services,5b88e90f3149b9002cf44b55,Chick-fil-A,5
2020-04-01,Texas,Harris County,56aa371be4b08b9a8d573550,Food Services,597a1b71f8cbd404982d87ce,Chick-fil-A,6
2020-04-01,Texas,Harris County,56aa371be4b08b9a8d573550,Food Services,5ad04eb4bfdc5e0824b4a474,Chick-fil-A,7
2020-04-01,Texas,Harris County,56aa371be4b08b9a8d573550,Food Services,5981ffb451950e4f8502404a,Chick-fil-A,8
2020-04-01,Texas,Harris County,56aa371be4b08b9a8d573550,Food Services,57cff5f3498e10168a89fb34,Chick-fil-A,9
