date,county,category,visitIndex,rank
2020-03-01,Alameda County,Food,104,1
2020-03-01,Alameda County,Shops & Services,106,2
2020-03-01,Alameda County,Outdoors & Recreation,102,3
2020-03-01,Alameda County,Grocery,110,4
2020-03-01,Alameda County,Professional & Other Places,108,5
2020-03-01,Alameda County,Arts & Entertainment,108,6
2020-03-01,Alameda County,Gas Stations,105,7
2020-03-01,Alameda County,Nightlife Spots,104,8
2020-03-01,Alameda County,Fast Food Restaurants,105,9
2020-03-01,Alameda County,Spiritual Center,102,10
2020-03-02,Alameda County,Food,97,1
2020-03-02,Alameda County,Shops & Services,101,2
2020-03-02,Alameda County,Outdoors & Recreation,99,3
2020-03-02,Alameda County,Grocery,111,4
2020-03-02,Alameda County,Professional & Other Places,108,5
2020-03-02,Alameda County,School,119,6
2020-03-02,Alameda County,Medical,109,7
2020-03-02,Alameda County,Colleges & Universities,111,8
2020-03-02,Alameda County,Office,112,9
2020-03-02,Alameda County,Gas Stations,108,10
2020-03-03,Alameda County,Food,103,1
2020-03-03,Alameda County,Shops & Services,103,2
2020-03-03,Alameda County,Outdoors & Recreation,110,3
2020-03-03,Alameda County,Grocery,107,4
2020-03-03,Alameda County,Professional & Other Places,104,5
2020-03-03,Alameda County,School,106,6
2020-03-03,Alameda County,Colleges & Universities,103,7
2020-03-03,Alameda County,Medical,101,8
2020-03-03,Alameda County,Office,96,9
2020-03-03,Alameda County,Gas Stations,101,10
2020-03-04,Alameda County,Food,101,1
2020-03-04,Alameda County,Shops & Services,101,2
2020-03-04,Alameda County,Outdoors & Recreation,102,3
2020-03-04,Alameda County,Grocery,102,4
2020-03-04,Alameda County,Professional & Other Places,97,5
2020-03-04,Alameda County,School,98,6
2020-03-04,Alameda County,Colleges & Universities,96,7
2020-03-04,Alameda County,Office,97,8
2020-03-04,Alameda County,Medical,92,9
2020-03-04,Alameda County,Gas Stations,98,10
2020-03-05,Alameda County,Food,102,1
2020-03-05,Alameda County,Shops & Services,105,2
2020-03-05,Alameda County,Outdoors & Recreation,99,3
2020-03-05,Alameda County,Grocery,103,4
2020-03-05,Alameda County,Professional & Other Places,101,5
2020-03-05,Alameda County,School,98,6
2020-03-05,Alameda County,Medical,95,7
2020-03-05,Alameda County,Office,95,8
2020-03-05,Alameda County,Colleges & Universities,88,9
2020-03-05,Alameda County,Gas Stations,103,10
2020-03-06,Alameda County,Food,101,1
2020-03-06,Alameda County,Shops & Services,95,2
2020-03-06,Alameda County,Outdoors & Recreation,100,3
2020-03-06,Alameda County,Grocery,101,4
2020-03-06,Alameda County,Professional & Other Places,101,5
2020-03-06,Alameda County,School,98,6
2020-03-06,Alameda County,Medical,98,7
2020-03-06,Alameda County,Nightlife Spots,111,8
2020-03-06,Alameda County,Gas Stations,100,9
2020-03-06,Alameda County,Arts & Entertainment,115,10
2020-03-07,Alameda County,Food,90,1
2020-03-07,Alameda County,Shops & Services,92,2
2020-03-07,Alameda County,Outdoors & Recreation,83,3
2020-03-07,Alameda County,Grocery,101,4
2020-03-07,Alameda County,Professional & Other Places,88,5
2020-03-07,Alameda County,Nightlife Spots,78,6
2020-03-07,Alameda County,Gas Stations,89,7
2020-03-07,Alameda County,Arts & Entertainment,72,8
2020-03-07,Alameda County,Fast Food Restaurants,91,9
2020-03-07,Alameda County,Big Box Stores,106,10
2020-03-08,Alameda County,Food,94,1
2020-03-08,Alameda County,Shops & Services,93,2
2020-03-08,Alameda County,Outdoors & Recreation,93,3
2020-03-08,Alameda County,Grocery,94,4
2020-03-08,Alameda County,Gas Stations,93,5
2020-03-08,Alameda County,Professional & Other Places,92,6
2020-03-08,Alameda County,Fast Food Restaurants,103,7
2020-03-08,Alameda County,Arts & Entertainment,88,8
2020-03-08,Alameda County,Spiritual Center,89,9
2020-03-08,Alameda County,Big Box Stores,107,10
2020-03-08,Alameda County,Nightlife Spots,84,10
2020-03-09,Alameda County,Food,94,1
2020-03-09,Alameda County,Shops & Services,95,2
2020-03-09,Alameda County,Outdoors & Recreation,100,3
2020-03-09,Alameda County,Grocery,112,4
2020-03-09,Alameda County,Professional & Other Places,106,5
2020-03-09,Alameda County,Medical,110,6
2020-03-09,Alameda County,School,115,7
2020-03-09,Alameda County,Office,106,8
2020-03-09,Alameda County,Colleges & Universities,96,9
2020-03-09,Alameda County,Gas Stations,99,10
2020-03-10,Alameda County,Food,98,1
2020-03-10,Alameda County,Shops & Services,96,2
2020-03-10,Alameda County,Outdoors & Recreation,99,3
2020-03-10,Alameda County,Grocery,105,4
2020-03-10,Alameda County,Professional & Other Places,91,5
2020-03-10,Alameda County,School,96,6
2020-03-10,Alameda County,Medical,99,7
2020-03-10,Alameda County,Office,79,8
2020-03-10,Alameda County,Gas Stations,91,9
2020-03-10,Alameda County,Colleges & Universities,66,10
2020-03-11,Alameda County,Food,96,1
2020-03-11,Alameda County,Shops & Services,100,2
2020-03-11,Alameda County,Outdoors & Recreation,102,3
2020-03-11,Alameda County,Grocery,115,4
2020-03-11,Alameda County,Professional & Other Places,92,5
2020-03-11,Alameda County,School,97,6
2020-03-11,Alameda County,Medical,94,7
2020-03-11,Alameda County,Gas Stations,96,8
2020-03-11,Alameda County,Office,76,9
2020-03-11,Alameda County,Colleges & Universities,68,10
2020-03-12,Alameda County,Food,93,1
2020-03-12,Alameda County,Shops & Services,96,2
2020-03-12,Alameda County,Outdoors & Recreation,96,3
2020-03-12,Alameda County,Grocery,120,4
2020-03-12,Alameda County,Professional & Other Places,91,5
2020-03-12,Alameda County,School,95,6
2020-03-12,Alameda County,Medical,95,7
2020-03-12,Alameda County,Office,78,8
2020-03-12,Alameda County,Gas Stations,90,9
2020-03-12,Alameda County,Fast Food Restaurants,95,10
2020-03-13,Alameda County,Food,89,1
2020-03-13,Alameda County,Shops & Services,98,2
2020-03-13,Alameda County,Grocery,141,3
2020-03-13,Alameda County,Outdoors & Recreation,91,4
2020-03-13,Alameda County,Professional & Other Places,89,5
2020-03-13,Alameda County,School,86,6
2020-03-13,Alameda County,Gas Stations,102,7
2020-03-13,Alameda County,Medical,95,8
2020-03-13,Alameda County,Fast Food Restaurants,97,9
2020-03-13,Alameda County,Office,82,10
2020-03-14,Alameda County,Food,65,1
2020-03-14,Alameda County,Shops & Services,70,2
2020-03-14,Alameda County,Grocery,115,3
2020-03-14,Alameda County,Outdoors & Recreation,55,4
2020-03-14,Alameda County,Professional & Other Places,67,5
2020-03-14,Alameda County,Gas Stations,75,6
2020-03-14,Alameda County,Big Box Stores,98,7
2020-03-14,Alameda County,Fast Food Restaurants,73,8
2020-03-14,Alameda County,Nightlife Spots,53,9
2020-03-14,Alameda County,Fitness Center,72,10
2020-03-15,Alameda County,Food,64,1
2020-03-15,Alameda County,Shops & Services,69,2
2020-03-15,Alameda County,Grocery,109,3
2020-03-15,Alameda County,Outdoors & Recreation,63,4
2020-03-15,Alameda County,Big Box Stores,98,5
2020-03-15,Alameda County,Gas Stations,70,6
2020-03-15,Alameda County,Professional & Other Places,65,7
2020-03-15,Alameda County,Fast Food Restaurants,72,8
2020-03-15,Alameda County,Airport,64,9
2020-03-15,Alameda County,Nightlife Spots,56,10
2020-03-16,Alameda County,Shops & Services,94,1
2020-03-16,Alameda County,Food,78,2
2020-03-16,Alameda County,Grocery,171,3
2020-03-16,Alameda County,Outdoors & Recreation,80,4
2020-03-16,Alameda County,Professional & Other Places,78,5
2020-03-16,Alameda County,Gas Stations,107,6
2020-03-16,Alameda County,Medical,85,7
2020-03-16,Alameda County,Big Box Stores,141,8
