date,state,county,category,visitIndex,visitsAbove65Index,visitsBelow65Index,rank
2020-03-01,California,Alameda County,Food,104,99,104,1
2020-03-01,California,Alameda County,Shops & Services,106,99,106,2
2020-03-01,California,Alameda County,Outdoors & Recreation,102,103,102,3
2020-03-01,California,Alameda County,Grocery,110,95,110,4
2020-03-01,California,Alameda County,Professional & Other Places,108,129,108,5
2020-03-01,California,Alameda County,Arts & Entertainment,108,117,108,6
2020-03-01,California,Alameda County,Gas Stations,105,102,105,7
2020-03-01,California,Alameda County,Nightlife Spots,104,98,104,8
2020-03-01,California,Alameda County,Fast Food Restaurants,105,79,105,9
2020-03-01,California,Alameda County,Spiritual Center,102,97,102,10
2020-03-01,California,Alameda County,Big Box Stores,122,106,122,11
2020-03-01,California,Alameda County,Airport,101,89,101,12
2020-03-01,California,Alameda County,School,104,92,104,13
2020-03-01,California,Alameda County,Fitness Center,93,121,93,14
2020-03-01,California,Alameda County,Residences,98,104,98,15
2020-03-01,California,Alameda County,Colleges & Universities,96,68,96,16
2020-03-01,California,Alameda County,Drug Store,117,87,118,17
2020-03-01,California,Alameda County,Medical,89,75,90,18
2020-03-01,California,Alameda County,Travel & Transport,61,39,62,19
2020-03-01,California,Alameda County,Hotel,101,121,101,20
2020-03-01,California,Alameda County,Convenience Store,93,101,92,21
2020-03-01,California,Alameda County,Hardware Stores,119,102,119,22
2020-03-01,California,Alameda County,Sports,109,106,109,23
2020-03-01,California,Alameda County,Metro Stations,93,83,93,24
2020-03-01,California,Alameda County,Office,95,68,95,25
2020-03-01,California,Alameda County,Alcohol,99,76,99,26
2020-03-01,California,Alameda County,Banks,109,108,109,27
2020-03-01,California,Alameda County,Discount Stores,105,124,105,28
2020-03-01,California,Alameda County,Government,105,141,105,29
2020-03-02,California,Alameda County,Food,97,90,97,1
2020-03-02,California,Alameda County,Shops & Services,101,97,101,2
2020-03-02,California,Alameda County,Outdoors & Recreation,99,96,99,3
2020-03-02,California,Alameda County,Grocery,111,95,111,4
2020-03-02,California,Alameda County,Professional & Other Places,108,114,108,5
2020-03-02,California,Alameda County,School,119,128,118,6
2020-03-02,California,Alameda County,Medical,109,101,109,7
2020-03-02,California,Alameda County,Colleges & Universities,111,132,111,8
2020-03-02,California,Alameda County,Office,112,118,112,9
2020-03-02,California,Alameda County,Gas Stations,108,98,108,10
2020-03-02,California,Alameda County,Fitness Center,107,103,107,11
2020-03-02,California,Alameda County,Fast Food Restaurants,99,53,100,12
2020-03-02,California,Alameda County,Airport,83,89,83,13
2020-03-02,California,Alameda County,Travel & Transport,73,78,73,14
2020-03-02,California,Alameda County,Metro Stations,105,107,105,15
2020-03-02,California,Alameda County,Nightlife Spots,95,91,95,16
2020-03-02,California,Alameda County,Arts & Entertainment,89,85,90,17
2020-03-02,California,Alameda County,Big Box Stores,102,107,102,18
2020-03-02,California,Alameda County,Residences,101,72,102,19
2020-03-02,California,Alameda County,Drug Store,106,92,106,20
2020-03-02,California,Alameda County,Convenience Store,106,110,106,21
2020-03-02,California,Alameda County,Spiritual Center,122,104,123,22
2020-03-02,California,Alameda County,Government,133,117,134,23
2020-03-02,California,Alameda County,Hotel,100,103,100,24
2020-03-02,California,Alameda County,Banks,139,115,140,25
2020-03-02,California,Alameda County,Hardware Stores,87,61,89,26
2020-03-02,California,Alameda County,Sports,111,131,111,27
2020-03-02,California,Alameda County,Alcohol,117,122,117,28
2020-03-02,California,Alameda County,Bus,120,136,120,29
2020-03-02,California,Alameda County,Discount Stores,93,100,93,30
2020-03-03,California,Alameda County,Food,103,99,103,1
2020-03-03,California,Alameda County,Shops & Services,103,93,103,2
2020-03-03,California,Alameda County,Outdoors & Recreation,110,95,110,3
2020-03-03,California,Alameda County,Grocery,107,97,107,4
2020-03-03,California,Alameda County,Professional & Other Places,104,104,104,5
2020-03-03,California,Alameda County,School,106,112,106,6
2020-03-03,California,Alameda County,Colleges & Universities,103,94,103,7
2020-03-03,California,Alameda County,Medical,101,91,102,8
2020-03-03,California,Alameda County,Office,96,83,96,9
2020-03-03,California,Alameda County,Gas Stations,101,113,101,10
2020-03-03,California,Alameda County,Fitness Center,95,95,95,11
2020-03-03,California,Alameda County,Fast Food Restaurants,109,108,109,12
2020-03-03,California,Alameda County,Nightlife Spots,105,90,105,13
2020-03-03,California,Alameda County,Spiritual Center,154,189,153,14
2020-03-03,California,Alameda County,Travel & Transport,69,81,68,15
2020-03-03,California,Alameda County,Arts & Entertainment,99,94,100,16
2020-03-03,California,Alameda County,Airport,89,132,88,17
2020-03-03,California,Alameda County,Residences,106,85,107,18
2020-03-03,California,Alameda County,Metro Stations,91,106,90,19
2020-03-03,California,Alameda County,Big Box Stores,103,92,104,20
2020-03-03,California,Alameda County,Drug Store,103,96,103,21
2020-03-03,California,Alameda County,Government,116,113,116,22
2020-03-03,California,Alameda County,Convenience Store,102,117,102,23
2020-03-03,California,Alameda County,Hotel,101,86,101,24
2020-03-03,California,Alameda County,Banks,117,98,118,25
2020-03-03,California,Alameda County,Sports,115,94,116,26
2020-03-03,California,Alameda County,Hardware Stores,93,90,93,27
2020-03-03,California,Alameda County,Alcohol,104,101,104,28
2020-03-03,California,Alameda County,Bus,92,59,92,29
2020-03-03,California,Alameda County,Discount Stores,100,93,100,30
2020-03-04,California,Alameda County,Food,101,90,101,1
2020-03-04,California,Alameda County,Shops & Services,101,98,101,2
2020-03-04,California,Alameda County,Outdoors & Recreation,102,83,103,3
2020-03-04,California,Alameda County,Grocery,102,82,103,4
2020-03-04,California,Alameda County,Professional & Other Places,97,82,98,5
2020-03-04,California,Alameda County,School,98,86,98,6
2020-03-04,California,Alameda County,Colleges & Universities,96,62,96,7
2020-03-04,California,Alameda County,Office,97,93,97,8
2020-03-04,California,Alameda County,Medical,92,94,92,9
2020-03-04,California,Alameda County,Gas Stations,98,82,98,10
2020-03-04,California,Alameda County,Fitness Center,102,99,102,11
2020-03-04,California,Alameda County,Fast Food Restaurants,95,73,95,12
2020-03-04,California,Alameda County,Nightlife Spots,100,78,101,13
2020-03-04,California,Alameda County,Travel & Transport,74,71,74,14
2020-03-04,California,Alameda County,Airport,81,77,81,15
2020-03-04,California,Alameda County,Arts & Entertainment,91,88,91,16
2020-03-04,California,Alameda County,Residences,106,105,106,17
2020-03-04,California,Alameda County,Metro Stations,92,75,92,18
2020-03-04,California,Alameda County,Big Box Stores,108,84,108,19
2020-03-04,California,Alameda County,Drug Store,101,78,102,20
2020-03-04,California,Alameda County,Spiritual Center,88,100,88,21
2020-03-04,California,Alameda County,Hotel,92,97,92,22
2020-03-04,California,Alameda County,Convenience Store,91,95,91,23
2020-03-04,California,Alameda County,Government,92,78,93,24
2020-03-04,California,Alameda County,Hardware Stores,106,107,106,25
2020-03-04,California,Alameda County,Banks,110,93,110,26
2020-03-04,California,Alameda County,Sports,100,125,99,27
2020-03-04,California,Alameda County,Alcohol,100,74,100,28
2020-03-04,California,Alameda County,Bus,99,96,99,29
2020-03-04,California,Alameda County,Discount Stores,92,38,94,30
2020-03-05,California,Alameda County,Food,102,91,102,1
2020-03-05,California,Alameda County,Shops & Services,105,93,105,2
2020-03-05,California,Alameda County,Outdoors & Recreation,99,98,99,3
2020-03-05,California,Alameda County,Grocery,103,98,104,4
2020-03-05,California,Alameda County,Professional & Other Places,101,98,101,5
2020-03-05,California,Alameda County,School,98,103,98,6
2020-03-05,California,Alameda County,Medical,95,85,95,7
2020-03-05,California,Alameda County,Office,95,94,95,8
2020-03-05,California,Alameda County,Colleges & Universities,88,72,89,9
2020-03-05,California,Alameda County,Gas Stations,103,100,103,10
2020-03-05,California,Alameda County,Fitness Center,99,100,99,11
2020-03-05,California,Alameda County,Fast Food Restaurants,95,97,95,12
2020-03-05,California,Alameda County,Airport,93,68,94,13
2020-03-05,California,Alameda County,Nightlife Spots,99,120,98,14
2020-03-05,California,Alameda County,Travel & Transport,70,54,70,15
2020-03-05,California,Alameda County,Residences,113,113,113,16
2020-03-05,California,Alameda County,Arts & Entertainment,86,90,86,17
2020-03-05,California,Alameda County,Big Box Stores,102,78,103,18
2020-03-05,California,Alameda County,Metro Stations,85,116,85,19
2020-03-05,California,Alameda County,Drug Store,100,122,99,20
2020-03-05,California,Alameda County,Hotel,108,92,108,21
2020-03-05,California,Alameda County,Spiritual Center,99,109,99,22
2020-03-05,California,Alameda County,Convenience Store,93,79,93,23
2020-03-05,California,Alameda County,Government,101,80,102,24
2020-03-05,California,Alameda County,Hardware Stores,107,125,106,25
2020-03-05,California,Alameda County,Banks,110,83,111,26
2020-03-05,California,Alameda County,Sports,115,103,116,27
2020-03-05,California,Alameda County,Alcohol,113,122,113,28
2020-03-05,California,Alameda County,Bus,96,85,96,29
2020-03-05,California,Alameda County,Discount Stores,112,68,114,30
2020-03-06,California,Alameda County,Food,101,94,102,1
2020-03-06,California,Alameda County,Shops & Services,95,88,95,2
2020-03-06,California,Alameda County,Outdoors & Recreation,100,102,100,3
2020-03-06,California,Alameda County,Grocery,101,111,100,4
2020-03-06,California,Alameda County,Professional & Other Places,101,87,101,5
2020-03-06,California,Alameda County,School,98,104,98,6
2020-03-06,California,Alameda County,Medical,98,86,98,7
2020-03-06,California,Alameda County,Nightlife Spots,111,85,111,8
2020-03-06,California,Alameda County,Gas Stations,100,88,100,9
2020-03-06,California,Alameda County,Arts & Entertainment,115,119,115,10
2020-03-06,California,Alameda County,Office,94,105,94,11
2020-03-06,California,Alameda County,Fast Food Restaurants,99,85,99,12
2020-03-06,California,Alameda County,Colleges & Universities,96,51,97,13
2020-03-06,California,Alameda County,Airport,92,54,93,14
2020-03-06,California,Alameda County,Fitness Center,99,100,99,15
2020-03-06,California,Alameda County,Travel & Transport,73,62,73,16
2020-03-06,California,Alameda County,Big Box Stores,107,145,106,17
2020-03-06,California,Alameda County,Residences,95,96,95,18
2020-03-06,California,Alameda County,Metro Stations,96,77,97,19
2020-03-06,California,Alameda County,Drug Store,102,115,102,20
2020-03-06,California,Alameda County,Convenience Store,109,136,109,21
2020-03-06,California,Alameda County,Spiritual Center,107,101,107,22
2020-03-06,California,Alameda County,Hotel,89,85,89,23
2020-03-06,California,Alameda County,Government,112,82,113,24
2020-03-06,California,Alameda County,Banks,99,86,99,25
2020-03-06,California,Alameda County,Hardware Stores,108,83,109,26
2020-03-06,California,Alameda County,Sports,118,109,118,27
2020-03-06,California,Alameda County,Alcohol,95,86,95,28
2020-03-06,California,Alameda County,Bus,93,79,94,29
2020-03-06,California,Alameda County,Discount Stores,96,55,98,30
2020-03-07,California,Alameda County,Food,90,92,90,1
2020-03-07,California,Alameda County,Shops & Services,92,89,92,2
2020-03-07,California,Alameda County,Outdoors & Recreation,83,87,82,3
2020-03-07,California,Alameda County,Grocery,101,87,101,4
2020-03-07,California,Alameda County,Professional & Other Places,88,85,88,5
2020-03-07,California,Alameda County,Nightlife Spots,78,76,78,6
2020-03-07,California,Alameda County,Gas Stations,89,77,90,7
2020-03-07,California,Alameda County,Arts & Entertainment,72,56,72,8
2020-03-07,California,Alameda County,Fast Food Restaurants,91,92,91,9
2020-03-07,California,Alameda County,Big Box Stores,106,79,106,10
2020-03-07,California,Alameda County,School,107,104,107,11
2020-03-07,California,Alameda County,Fitness Center,95,87,96,12
2020-03-07,California,Alameda County,Colleges & Universities,94,55,95,13
2020-03-07,California,Alameda County,Medical,103,84,103,14
2020-03-07,California,Alameda County,Residences,96,125,96,15
2020-03-07,California,Alameda County,Airport,96,88,97,16
2020-03-07,California,Alameda County,Drug Store,98,96,98,17
2020-03-07,California,Alameda County,Spiritual Center,87,79,88,18
2020-03-07,California,Alameda County,Hotel,96,99,96,19
2020-03-07,California,Alameda County,Convenience Store,90,63,90,20
2020-03-07,California,Alameda County,Travel & Transport,61,55,61,21
2020-03-07,California,Alameda County,Hardware Stores,96,73,96,22
2020-03-07,California,Alameda County,Sports,85,84,85,23
2020-03-07,California,Alameda County,Office,94,72,95,24
2020-03-07,California,Alameda County,Metro Stations,75,37,76,25
2020-03-07,California,Alameda County,Alcohol,95,75,96,26
2020-03-07,California,Alameda County,Banks,86,69,87,27
2020-03-07,California,Alameda County,Discount Stores,109,54,111,28
2020-03-07,California,Alameda County,Government,110,107,111,29
2020-03-08,California,Alameda County,Food,94,94,94,1
2020-03-08,California,Alameda County,Shops & Services,93,83,93,2
2020-03-08,California,Alameda County,Outdoors & Recreation,93,92,93,3
2020-03-08,California,Alameda County,Grocery,94,102,93,4
2020-03-08,California,Alameda County,Gas Stations,93,80,93,5
2020-03-08,California,Alameda County,Professional & Other Places,92,85,92,6
2020-03-08,California,Alameda County,Fast Food Restaurants,103,92,103,7
2020-03-08,California,Alameda County,Arts & Entertainment,88,108,88,8
2020-03-08,California,Alameda County,Spiritual Center,89,80,90,9
2020-03-08,California,Alameda County,Big Box Stores,107,80,108,10
2020-03-08,California,Alameda County,Nightlife Spots,84,83,84,10
2020-03-08,California,Alameda County,Airport,87,58,87,11
2020-03-08,California,Alameda County,Fitness Center,92,113,91,12
2020-03-08,California,Alameda County,Residences,93,98,93,13
2020-03-08,California,Alameda County,School,90,80,90,14
2020-03-08,California,Alameda County,Colleges & Universities,98,69,98,15
2020-03-08,California,Alameda County,Drug Store,115,104,115,16
2020-03-08,California,Alameda County,Medical,91,92,91,17
2020-03-08,California,Alameda County,Travel & Transport,56,44,56,18
2020-03-08,California,Alameda County,Convenience Store,85,60,86,19
2020-03-08,California,Alameda County,Hardware Stores,109,100,109,20
2020-03-08,California,Alameda County,Hotel,88,72,88,21
2020-03-08,California,Alameda County,Sports,103,90,103,22
2020-03-08,California,Alameda County,Metro Stations,89,52,90,23
2020-03-08,California,Alameda County,Office,87,79,87,24
2020-03-08,California,Alameda County,Alcohol,98,132,97,25
2020-03-08,California,Alameda County,Discount Stores,102,123,102,26
2020-03-08,California,Alameda County,Banks,80,107,79,27
2020-03-08,California,Alameda County,Bus,106,122,106,28
2020-03-09,California,Alameda County,Food,94,82,95,1
2020-03-09,California,Alameda County,Shops & Services,95,84,95,2
2020-03-09,California,Alameda County,Outdoors & Recreation,100,97,101,3
2020-03-09,California,Alameda County,Grocery,112,99,112,4
2020-03-09,California,Alameda County,Professional & Other Places,106,111,106,5
2020-03-09,California,Alameda County,Medical,110,110,110,6
2020-03-09,California,Alameda County,School,115,113,115,7
2020-03-09,California,Alameda County,Office,106,89,106,8
2020-03-09,California,Alameda County,Colleges & Universities,96,108,96,9
2020-03-09,California,Alameda County,Gas Stations,99,78,99,10
2020-03-09,California,Alameda County,Fitness Center,97,72,97,11
2020-03-09,California,Alameda County,Fast Food Restaurants,99,89,99,12
2020-03-09,California,Alameda County,Travel & Transport,70,61,70,13
2020-03-09,California,Alameda County,Nightlife Spots,102,86,102,14
2020-03-09,California,Alameda County,Airport,74,87,74,15
2020-03-09,California,Alameda County,Arts & Entertainment,97,111,97,16
2020-03-09,California,Alameda County,Big Box Stores,110,123,110,17
2020-03-09,California,Alameda County,Residences,104,65,105,18
2020-03-09,California,Alameda County,Drug Store,97,82,97,19
2020-03-09,California,Alameda County,Metro Stations,80,119,79,20
