date,county,categoryName,visitIndex
2020-03-01,Alameda County,Grocery Stores,109
2020-03-01,Alameda County,Shopping Malls,109
2020-03-01,Alameda County,Gas Stations,105
2020-03-01,Alameda County,Parks,107
2020-03-01,Alameda County,Fast Food Restaurants,105
2020-03-01,Alameda County,Coffee Shops,99
2020-03-01,Alameda County,Big Box Stores,122
2020-03-01,Alameda County,Churches,102
2020-03-01,Alameda County,Pharmacies,118
2020-03-01,Alameda County,Mexican Restaurants,111
2020-03-01,Alameda County,Supermarkets,113
2020-03-01,Alameda County,Residential Buildings (Apartments / Condos),99
2020-03-01,Alameda County,Warehouse Stores,128
2020-03-01,Alameda County,Hardware Stores,119
2020-03-01,Alameda County,Chinese Restaurants,106
2020-03-01,Alameda County,Airports,103
2020-03-01,Alameda County,Convenience Stores,93
2020-03-01,Alameda County,Hotels,99
2020-03-01,Alameda County,Trails,101
2020-03-01,Alameda County,Metro Stations,93
2020-03-02,Alameda County,Grocery Stores,109
2020-03-02,Alameda County,Shopping Malls,100
2020-03-02,Alameda County,Gas Stations,108
2020-03-02,Alameda County,Offices,114
2020-03-02,Alameda County,Fast Food Restaurants,99
2020-03-02,Alameda County,Coffee Shops,99
2020-03-02,Alameda County,Parks,100
2020-03-02,Alameda County,Metro Stations,105
2020-03-02,Alameda County,Big Box Stores,102
2020-03-02,Alameda County,Pharmacies,106
2020-03-02,Alameda County,Elementary Schools,116
2020-03-02,Alameda County,Gyms or Fitness Centers,105
2020-03-02,Alameda County,Automotive Shops,116
2020-03-02,Alameda County,Buildings,114
2020-03-02,Alameda County,Mexican Restaurants,112
2020-03-02,Alameda County,Residential Buildings (Apartments / Condos),105
2020-03-02,Alameda County,Banks,139
2020-03-02,Alameda County,Convenience Stores,108
2020-03-02,Alameda County,Warehouse Stores,130
2020-03-02,Alameda County,Hotels,96
2020-03-03,Alameda County,Grocery Stores,106
2020-03-03,Alameda County,Shopping Malls,99
2020-03-03,Alameda County,Gas Stations,101
2020-03-03,Alameda County,Offices,97
2020-03-03,Alameda County,Fast Food Restaurants,109
2020-03-03,Alameda County,Parks,112
2020-03-03,Alameda County,Coffee Shops,99
2020-03-03,Alameda County,Churches,164
2020-03-03,Alameda County,Metro Stations,91
2020-03-03,Alameda County,Elementary Schools,102
2020-03-03,Alameda County,Big Box Stores,103
2020-03-03,Alameda County,Buildings,109
2020-03-03,Alameda County,Pharmacies,103
2020-03-03,Alameda County,Gyms or Fitness Centers,91
2020-03-03,Alameda County,Mexican Restaurants,105
2020-03-03,Alameda County,Automotive Shops,104
2020-03-03,Alameda County,Residential Buildings (Apartments / Condos),100
2020-03-03,Alameda County,Convenience Stores,103
2020-03-03,Alameda County,High Schools,105
2020-03-03,Alameda County,Hotels,98
2020-03-04,Alameda County,Grocery Stores,103
2020-03-04,Alameda County,Shopping Malls,103
2020-03-04,Alameda County,Gas Stations,98
2020-03-04,Alameda County,Offices,98
2020-03-04,Alameda County,Parks,106
2020-03-04,Alameda County,Coffee Shops,98
2020-03-04,Alameda County,Fast Food Restaurants,95
2020-03-04,Alameda County,Metro Stations,92
2020-03-04,Alameda County,Elementary Schools,97
2020-03-04,Alameda County,Big Box Stores,108
2020-03-04,Alameda County,Pharmacies,101
2020-03-04,Alameda County,Gyms or Fitness Centers,103
2020-03-04,Alameda County,Buildings,100
2020-03-04,Alameda County,Mexican Restaurants,114
2020-03-04,Alameda County,Residential Buildings (Apartments / Condos),107
2020-03-04,Alameda County,Automotive Shops,99
2020-03-04,Alameda County,High Schools,105
2020-03-04,Alameda County,Hotels,87
2020-03-04,Alameda County,Churches,84
2020-03-04,Alameda County,Convenience Stores,92
2020-03-04,Alameda County,Hardware Stores,106
2020-03-05,Alameda County,Shopping Malls,107
2020-03-05,Alameda County,Grocery Stores,103
2020-03-05,Alameda County,Gas Stations,103
2020-03-05,Alameda County,Offices,96
2020-03-05,Alameda County,Coffee Shops,108
2020-03-05,Alameda County,Fast Food Restaurants,95
2020-03-05,Alameda County,Parks,107
2020-03-05,Alameda County,Big Box Stores,102
2020-03-05,Alameda County,Elementary Schools,97
2020-03-05,Alameda County,Metro Stations,85
2020-03-05,Alameda County,Pharmacies,99
2020-03-05,Alameda County,Mexican Restaurants,114
2020-03-05,Alameda County,Buildings,99
2020-03-05,Alameda County,Residential Buildings (Apartments / Condos),109
2020-03-05,Alameda County,Gyms or Fitness Centers,95
2020-03-05,Alameda County,Automotive Shops,102
2020-03-05,Alameda County,Hotels,105
2020-03-05,Alameda County,High Schools,105
2020-03-05,Alameda County,Convenience Stores,90
2020-03-05,Alameda County,Churches,100
2020-03-05,Alameda County,Hardware Stores,107
2020-03-06,Alameda County,Grocery Stores,101
2020-03-06,Alameda County,Shopping Malls,95
2020-03-06,Alameda County,Gas Stations,100
2020-03-06,Alameda County,Fast Food Restaurants,99
2020-03-06,Alameda County,Coffee Shops,102
2020-03-06,Alameda County,Parks,103
2020-03-06,Alameda County,Offices,94
2020-03-06,Alameda County,Big Box Stores,107
2020-03-06,Alameda County,Elementary Schools,99
2020-03-06,Alameda County,Metro Stations,96
2020-03-06,Alameda County,Pharmacies,102
2020-03-06,Alameda County,Mexican Restaurants,106
2020-03-06,Alameda County,Convenience Stores,109
2020-03-06,Alameda County,Residential Buildings (Apartments / Condos),93
2020-03-06,Alameda County,Buildings,98
2020-03-06,Alameda County,Automotive Shops,96
2020-03-06,Alameda County,Gyms or Fitness Centers,97
2020-03-06,Alameda County,Banks,99
2020-03-06,Alameda County,Churches,105
2020-03-06,Alameda County,Hotels,84
2020-03-07,Alameda County,Shopping Malls,98
2020-03-07,Alameda County,Grocery Stores,101
2020-03-07,Alameda County,Gas Stations,89
2020-03-07,Alameda County,Fast Food Restaurants,91
2020-03-07,Alameda County,Coffee Shops,94
2020-03-07,Alameda County,Parks,90
2020-03-07,Alameda County,Big Box Stores,106
2020-03-07,Alameda County,Pharmacies,97
2020-03-07,Alameda County,Mexican Restaurants,96
2020-03-07,Alameda County,Residential Buildings (Apartments / Condos),95
2020-03-07,Alameda County,Supermarkets,100
2020-03-07,Alameda County,Hardware Stores,96
2020-03-07,Alameda County,Churches,88
2020-03-07,Alameda County,Hotels,95
2020-03-07,Alameda County,Gyms or Fitness Centers,97
2020-03-07,Alameda County,Pizza Places,106
2020-03-07,Alameda County,Convenience Stores,90
2020-03-07,Alameda County,Warehouse Stores,89
2020-03-07,Alameda County,Chinese Restaurants,81
2020-03-07,Alameda County,Automotive Shops,86
2020-03-08,Alameda County,Grocery Stores,91
2020-03-08,Alameda County,Shopping Malls,95
2020-03-08,Alameda County,Gas Stations,93
2020-03-08,Alameda County,Parks,105
2020-03-08,Alameda County,Fast Food Restaurants,103
2020-03-08,Alameda County,Coffee Shops,92
2020-03-08,Alameda County,Big Box Stores,107
2020-03-08,Alameda County,Churches,88
2020-03-08,Alameda County,Pharmacies,115
2020-03-08,Alameda County,Mexican Restaurants,103
2020-03-08,Alameda County,Supermarkets,102
2020-03-08,Alameda County,Residential Buildings (Apartments / Condos),96
2020-03-08,Alameda County,Hardware Stores,109
2020-03-08,Alameda County,Airports,92
2020-03-08,Alameda County,Warehouse Stores,100
2020-03-08,Alameda County,Convenience Stores,86
2020-03-08,Alameda County,Metro Stations,89
2020-03-08,Alameda County,Chinese Restaurants,83
2020-03-08,Alameda County,Trails,96
2020-03-08,Alameda County,Gyms or Fitness Centers,90
2020-03-08,Alameda County,Pizza Places,104
2020-03-09,Alameda County,Grocery Stores,112
2020-03-09,Alameda County,Shopping Malls,98
2020-03-09,Alameda County,Gas Stations,99
2020-03-09,Alameda County,Offices,107
2020-03-09,Alameda County,Parks,109
2020-03-09,Alameda County,Fast Food Restaurants,99
2020-03-09,Alameda County,Coffee Shops,93
2020-03-09,Alameda County,Big Box Stores,110
2020-03-09,Alameda County,Elementary Schools,114
2020-03-09,Alameda County,Pharmacies,97
2020-03-09,Alameda County,Metro Stations,80
2020-03-09,Alameda County,Gyms or Fitness Centers,100
2020-03-09,Alameda County,Automotive Shops,105
2020-03-09,Alameda County,Residential Buildings (Apartments / Condos),106
2020-03-09,Alameda County,Buildings,100
2020-03-09,Alameda County,Mexican Restaurants,103
2020-03-09,Alameda County,Supermarkets,112
2020-03-09,Alameda County,Doctor's Offices,125
2020-03-09,Alameda County,Hardware Stores,98
2020-03-09,Alameda County,Hotels,89
2020-03-09,Alameda County,Convenience Stores,92
2020-03-10,Alameda County,Grocery Stores,107
