Location type,% of Usual Visits,Age Group,State,County,
Arts & Entertainment,28,Under 65,CA,Alameda,1
College & Education,12,Under 65,CA,Alameda,1
Event,52,Under 65,CA,Alameda,1
Food,77,Under 65,CA,Alameda,1
Nightlife,53,Under 65,CA,Alameda,1
Outdoors & Recreation,25,Under 65,CA,Alameda,1
Professional,29,Under 65,CA,Alameda,1
Residence,61,Under 65,CA,Alameda,1
Shops,56,Under 65,CA,Alameda,1
Travel,75,Under 65,CA,Alameda,1
Arts & Entertainment,49,Over 65,CA,Alameda,1
College & Education,29,Over 65,CA,Alameda,1
Event,39,Over 65,CA,Alameda,1
Food,16,Over 65,CA,Alameda,1
Nightlife,22,Over 65,CA,Alameda,1
Outdoors & Recreation,46,Over 65,CA,Alameda,1
Professional,30,Over 65,CA,Alameda,1
Residence,17,Over 65,CA,Alameda,1
Shops,3,Over 65,CA,Alameda,1
Travel,49,Over 65,CA,Alameda,1
Arts & Entertainment,14,Under 65,CA,Alpine,2
College & Education,18,Under 65,CA,Alpine,2
Event,12,Under 65,CA,Alpine,2
Food,40,Under 65,CA,Alpine,2
Nightlife,26,Under 65,CA,Alpine,2
Outdoors & Recreation,68,Under 65,CA,Alpine,2
Professional,3,Under 65,CA,Alpine,2
Residence,50,Under 65,CA,Alpine,2
Shops,71,Under 65,CA,Alpine,2
Travel,53,Under 65,CA,Alpine,2
Arts & Entertainment,62,Over 65,CA,Alpine,2
College & Education,66,Over 65,CA,Alpine,2
Event,10,Over 65,CA,Alpine,2
Food,16,Over 65,CA,Alpine,2
Nightlife,53,Over 65,CA,Alpine,2
Outdoors & Recreation,79,Over 65,CA,Alpine,2
Professional,73,Over 65,CA,Alpine,2
Residence,57,Over 65,CA,Alpine,2
Shops,47,Over 65,CA,Alpine,2
Travel,47,Over 65,CA,Alpine,2
Arts & Entertainment,71,Under 65,CA,Amador,3
College & Education,62,Under 65,CA,Amador,3
Event,46,Under 65,CA,Amador,3
Food,40,Under 65,CA,Amador,3
Nightlife,60,Under 65,CA,Amador,3
Outdoors & Recreation,15,Under 65,CA,Amador,3
Professional,8,Under 65,CA,Amador,3
Residence,21,Under 65,CA,Amador,3
Shops,19,Under 65,CA,Amador,3
Travel,32,Under 65,CA,Amador,3
Arts & Entertainment,11,Over 65,CA,Amador,3
College & Education,49,Over 65,CA,Amador,3
Event,31,Over 65,CA,Amador,3
Food,39,Over 65,CA,Amador,3
Nightlife,77,Over 65,CA,Amador,3
Outdoors & Recreation,59,Over 65,CA,Amador,3
Professional,14,Over 65,CA,Amador,3
Residence,56,Over 65,CA,Amador,3
Shops,71,Over 65,CA,Amador,3
Travel,29,Over 65,CA,Amador,3
